english,example,ko_meaning,ko_example,ja_meaning,ja_example,zh_meaning,zh_example,es_meaning,es_example,vi_meaning,vi_example,th_meaning,th_example,id_meaning,id_example
ingenuous,The completely ingenuous young rural country boy quickly trustingly believed every single small unlikely outrageous tall tale the older mischievous boys at his new urban big school told him daily.,순진한,그 완전히 순진한 어린 시골 소년은 그의 새 도시 대형 학교의 더 나이 많은 장난기 있는 소년들이 그에게 매일 들려주는 모든 작고 있을 법하지 않은 황당한 허풍 이야기를 빠르게 의심 없이 믿었다.,純真な,その完全に純真な田舎の若い少年は彼の新しい都市の大きな学校の年上のいたずら好きな少年たちが毎日彼に語る信じられないような大げさな話を素早く信じてしまった。,天真的,这个完全天真的乡村小男孩很快毫不怀疑地相信他新城市大学校里那些年长调皮的男孩每天告诉他的每一个不太可能荒唐的吹牛故事。,ingenuo,El completamente ingenuo joven rural campesino chico rápidamente confiadamente creía cada pequeña improbable absurda exagerada historia que los mayores traviesos chicos en su nuevo urbano gran escuela le contaban diariamente.,ngây thơ,Cậu bé nông thôn trẻ hoàn toàn ngây thơ đã nhanh chóng tin tưởng mọi câu chuyện khoác lác phi lý ít có thật mà những cậu bé tinh quái lớn hơn ở trường lớn thành phố mới kể cho cậu hàng ngày.,ไร้เดียงสา,เด็กชายชนบทที่ไร้เดียงสาอย่างสมบูรณ์เชื่ออย่างไว้ใจเรื่องราวที่เกินจริงที่ไม่น่าเป็นไปได้ทุกเรื่องที่เด็กชายโตที่ซุกซนที่โรงเรียนใหญ่ในเมืองใหม่ของเขาเล่าให้เขาฟังทุกวันอย่างรวดเร็ว,polos lugu,Anak laki-laki desa muda pedesaan yang sepenuhnya polos lugu dengan cepat percaya cerita aneh muluk yang tidak mungkin yang diceritakan anak laki-laki nakal lebih tua di sekolah besar perkotaan barunya setiap hari.
inoculate,Local public health officials worked hard for many long weeks to successfully inoculate every single small child in the rural town against several dangerous childhood diseases.,예방접종하다,지역 공중 보건 당국은 여러 위험한 어린 시절 질병에 대비하여 시골 마을의 모든 어린 아이에게 성공적으로 예방접종하기 위해 길고 긴 주 동안 열심히 일했다.,予防接種する,地元の公衆衛生当局は田舎町のすべての幼児に複数の危険な小児疾患に対して成功裏に予防接種するため何週間も懸命に取り組んだ。,接种,当地公共卫生官员长达数周努力工作以成功为农村小镇的每一个小孩接种预防几种危险儿童疾病的疫苗。,inocular,Los funcionarios locales de salud pública trabajaron arduamente durante muchas largas semanas para inocular exitosamente a cada pequeño niño en el pueblo rural contra varias peligrosas enfermedades infantiles.,tiêm chủng,Các quan chức y tế công cộng địa phương đã làm việc chăm chỉ trong nhiều tuần dài để tiêm chủng thành công cho mọi đứa trẻ nhỏ trong thị trấn nông thôn chống lại một số bệnh thời thơ ấu nguy hiểm.,ฉีดวัคซีน,เจ้าหน้าที่สาธารณสุขในท้องถิ่นทำงานหนักเป็นเวลาหลายสัปดาห์เพื่อฉีดวัคซีนเด็กเล็กทุกคนในเมืองชนบทเพื่อต่อต้านโรคในวัยเด็กที่อันตรายหลายโรคให้สำเร็จ,memvaksinasi,Pejabat kesehatan masyarakat lokal bekerja keras selama berminggu-minggu untuk berhasil memvaksinasi setiap anak kecil di kota pedesaan terhadap beberapa penyakit anak berbahaya.
insolvent,The struggling small family business finally officially became completely insolvent after years of slowly worsening financial difficulties caused by the long economic recession.,파산한,그 어려움을 겪는 작은 가족 사업은 긴 경제 침체로 인해 발생한 수년간 천천히 악화되는 재정적 어려움 후에 마침내 공식적으로 완전히 파산했다.,支払不能な,その困窮した小さな家族経営事業は長い経済不況によって引き起こされた何年もの間ゆっくりと悪化する財政的困難の後についに公式に完全に支払不能になった。,无力偿债的,这家挣扎中的小型家庭企业在因长期经济衰退引起的多年缓慢恶化的财务困难之后终于正式完全无力偿债。,insolvente,La empresa familiar pequeña con dificultades finalmente oficialmente se volvió completamente insolvente tras años de lentamente empeorando dificultades financieras causadas por la larga recesión económica.,mất khả năng thanh toán,Doanh nghiệp gia đình nhỏ đang gặp khó khăn cuối cùng đã chính thức trở nên hoàn toàn mất khả năng thanh toán sau nhiều năm khó khăn tài chính ngày càng xấu đi do suy thoái kinh tế kéo dài.,ล้มละลาย,ธุรกิจครอบครัวขนาดเล็กที่กำลังลำบากในที่สุดก็ล้มละลายอย่างเป็นทางการอย่างสิ้นเชิงหลังจากความยากลำบากทางการเงินที่แย่ลงอย่างช้าๆ เป็นเวลาหลายปีที่เกิดจากภาวะเศรษฐกิจถดถอยที่ยาวนาน,bangkrut,Bisnis keluarga kecil yang berjuang akhirnya secara resmi menjadi sepenuhnya bangkrut setelah bertahun-tahun kesulitan keuangan yang perlahan memburuk akibat resesi ekonomi panjang.
insouciant,The famously casual insouciant young French painter approached every difficult challenging artistic project with a remarkably carefree easy going relaxed playful attitude throughout his long career.,태평한,그 유명하게 캐주얼하고 태평한 어린 프랑스 화가는 그의 긴 경력 내내 놀랍게 근심 없고 느긋하고 편안하고 장난스러운 태도로 모든 어렵고 도전적인 예술 프로젝트에 접근했다.,呑気な,その有名にカジュアルで呑気な若いフランス人画家は彼の長いキャリアを通じて驚くほど屈託なく気楽でリラックスして遊び心のある態度であらゆる困難で挑戦的な芸術プロジェクトに取り組んだ。,无忧无虑的,这位著名随意无忧无虑的年轻法国画家在他漫长的职业生涯中以非凡轻松随和放松俏皮的态度对待每一个困难具有挑战性的艺术项目。,despreocupado,El famosamente casual despreocupado joven francés pintor abordó cada difícil desafiante proyecto artístico con una notablemente despreocupada relajada juguetona actitud a lo largo de su larga carrera.,thờ ơ vô tư,Họa sĩ Pháp trẻ nổi tiếng tự nhiên thờ ơ vô tư đã tiếp cận mọi dự án nghệ thuật khó khăn đầy thử thách với thái độ thoải mái vui tươi không lo lắng đáng chú ý trong suốt sự nghiệp dài của mình.,ไม่กังวล,จิตรกรชาวฝรั่งเศสหนุ่มที่ไม่กังวลและสบายๆ ที่มีชื่อเสียงเข้าหาทุกโครงการทางศิลปะที่ยากและท้าทายด้วยทัศนคติที่ไร้กังวลผ่อนคลายและขี้เล่นอย่างน่าทึ่งตลอดอาชีพที่ยาวนานของเขา,santai tanpa peduli,Pelukis muda Prancis kasual santai tanpa peduli yang terkenal mendekati setiap proyek seni menantang sulit dengan sikap bermain santai mudah tanpa beban luar biasa sepanjang karier panjangnya.
insurrection,The brave passionate angry oppressed workers organized a major surprising violent insurrection against the harsh corrupt regional government leaders last summer.,반란,그 용감하고 열정적이며 화나고 억압받은 노동자들은 지난 여름 가혹하고 부패한 지역 정부 지도자들에 대해 주요하고 놀라운 폭력적인 반란을 조직했다.,反乱,その勇敢で情熱的で怒り抑圧された労働者たちは昨夏厳しく腐敗した地域政府の指導者たちに対して主要な驚くべき暴力的な反乱を組織した。,起义,这些勇敢热情愤怒受压迫的工人去年夏天对严酷腐败的地区政府领导人组织了一场重大令人惊讶的暴力起义。,insurrección,Los valientes apasionados enojados oprimidos trabajadores organizaron una importante sorprendente violenta insurrección contra los duros corruptos líderes del gobierno regional el verano pasado.,cuộc nổi dậy,Những công nhân bị áp bức tức giận nhiệt huyết dũng cảm đã tổ chức một cuộc nổi dậy bạo lực bất ngờ lớn chống lại các nhà lãnh đạo chính quyền khu vực tham nhũng khắc nghiệt mùa hè năm ngoái.,การกบฏ,คนงานที่ถูกกดขี่ที่กล้าหาญและหลงใหลที่โกรธจัดได้จัดการกบฏที่รุนแรงและน่าประหลาดใจครั้งใหญ่ต่อผู้นำรัฐบาลภูมิภาคที่ฉ้อฉลและโหดร้ายเมื่อฤดูร้อนที่แล้ว,pemberontakan,Pekerja tertindas marah penuh semangat pemberani mengorganisir pemberontakan kekerasan mengejutkan besar terhadap para pemimpin pemerintah regional korup keras musim panas lalu.
inveigh,Many concerned thoughtful citizens passionately inveigh against the corrupt unfair political practices of the current local government during every community town hall meeting recently.,비난하다,많은 우려하고 사려 깊은 시민들은 최근 매 지역사회 타운홀 미팅에서 현재 지역 정부의 부패하고 불공정한 정치적 관행에 대해 열정적으로 비난한다.,激しく非難する,多くの懸念し思慮深い市民は最近毎地域社会タウンホール会議で現在の地方政府の腐敗し不公正な政治的慣行について情熱的に激しく非難する。,猛烈抨击,许多担忧深思熟虑的市民最近在每个社区市政厅会议上热情地猛烈抨击当前地方政府的腐败不公正的政治做法。,arremeter,Muchos preocupados reflexivos ciudadanos apasionadamente arremeten contra las corruptas injustas prácticas políticas del actual gobierno local durante cada reunión municipal comunitaria recientemente.,kịch liệt lên án,Nhiều công dân chu đáo quan tâm nhiệt huyết kịch liệt lên án các hành vi chính trị bất công tham nhũng của chính quyền địa phương hiện tại trong mọi cuộc họp thị sảnh cộng đồng gần đây.,กล่าวโจมตี,พลเมืองที่ห่วงใยและมีวิจารณญาณจำนวนมากกล่าวโจมตีอย่างเร่าร้อนต่อแนวปฏิบัติทางการเมืองที่ฉ้อฉลและไม่เป็นธรรมของรัฐบาลท้องถิ่นปัจจุบันในการประชุมศาลาว่าการชุมชนทุกครั้งเมื่อเร็วๆ นี้,mencela keras,Banyak warga negara bijaksana peduli dengan penuh semangat mencela keras praktik politik korup tidak adil pemerintah lokal saat ini selama setiap rapat balai kota komunitas baru-baru ini.
jingoism,The dangerous rising tide of aggressive nationalist jingoism worried many concerned moderate political analysts watching closely.,맹목적 애국주의,공격적인 민족주의자 맹목적 애국주의의 위험한 상승 조류는 가까이서 지켜보는 많은 우려하는 온건한 정치 분석가들을 걱정시켰다.,排外的愛国主義,攻撃的な民族主義者の排外的愛国主義の危険な高まりは近くで見守る多くの穏健な政治アナリストを懸念させた。,沙文主义,极具侵略性的民族沙文主义抬头令许多密切关注的温和政治分析家忧虑。,jingoísmo,La peligrosa creciente marea de agresivo nacionalista jingoísmo preocupó a muchos preocupados moderados analistas políticos observando de cerca.,chủ nghĩa dân tộc hiếu chiến,Làn sóng chủ nghĩa dân tộc hiếu chiến hung hăng nguy hiểm gia tăng đã làm nhiều nhà phân tích chính trị ôn hòa quan tâm theo dõi sát lo lắng.,ลัทธิคลั่งชาติ,กระแสที่เพิ่มขึ้นของลัทธิคลั่งชาติชาตินิยมก้าวร้าวที่อันตรายทำให้นักวิเคราะห์การเมืองสายกลางจำนวนมากที่จับตามองอย่างใกล้ชิดกังวล,jingoisme,Gelombang jingoisme nasionalis agresif berbahaya meningkat mengkhawatirkan banyak analis politik moderat peduli yang mengamati dekat.
juggernaut,The unstoppable global tech company has become a massive industry juggernaut crushing smaller competitors everywhere effortlessly.,거대 세력,그 멈출 수 없는 글로벌 기술 회사는 어디서나 손쉽게 더 작은 경쟁자들을 짓밟는 거대한 산업 거대 세력이 되었다.,巨大な勢力,その止められないグローバルテック企業はどこでも楽に小さな競合他社を押し潰す巨大な業界の勢力となった。,庞然大物,这家势不可挡的全球科技公司已成为一个巨大的行业庞然大物轻松地碾压各地较小的竞争对手。,coloso,La imparable global empresa tecnológica se ha vuelto un masivo industrial coloso aplastando pequeños competidores en todas partes sin esfuerzo.,thế lực khổng lồ,Công ty công nghệ toàn cầu không thể ngăn cản đã trở thành một thế lực khổng lồ ngành công nghiệp nghiền nát các đối thủ nhỏ hơn ở khắp nơi một cách dễ dàng.,พลังที่หยุดยั้งไม่ได้,บริษัทเทคโนโลยีระดับโลกที่หยุดยั้งไม่ได้กลายเป็นพลังที่หยุดยั้งไม่ได้ในอุตสาหกรรมที่ยิ่งใหญ่บดขยี้คู่แข่งที่เล็กกว่าทุกที่อย่างง่ายดาย,kekuatan tak terbendung,Perusahaan teknologi global tak terhentikan telah menjadi kekuatan tak terbendung industri besar yang menghancurkan pesaing yang lebih kecil di mana-mana tanpa usaha.
knave,The cunning untrustworthy knave deceived many innocent townspeople before officials finally caught and arrested him.,악당,그 교활하고 신뢰할 수 없는 악당은 관리들이 마침내 그를 잡아 체포하기 전에 많은 무고한 마을 사람들을 속였다.,悪党,その狡猾で信頼できない悪党は役人がついに彼を捕まえて逮捕する前に多くの無実の町の人々を欺いた。,无赖,这个狡猾不可信赖的无赖在官员最终抓捕他之前欺骗了许多无辜的镇民。,bribón,El astuto poco confiable bribón engañó a muchos inocentes habitantes del pueblo antes de que los oficiales finalmente lo atraparan y arrestaran.,kẻ bất lương,Kẻ bất lương xảo quyệt không đáng tin cậy đã lừa dối nhiều người dân thị trấn vô tội trước khi các quan chức cuối cùng bắt và bắt giữ hắn.,คนเลว,คนเลวเจ้าเล่ห์ที่ไม่น่าไว้วางใจหลอกลวงชาวเมืองผู้บริสุทธิ์จำนวนมากก่อนที่เจ้าหน้าที่จะจับและจับกุมเขาในที่สุด,bajingan,Bajingan licik tidak dapat dipercaya menipu banyak warga kota tak bersalah sebelum pejabat akhirnya menangkap dan menahannya.
largess,The wealthy retired patron showed remarkable generous largess by donating millions to the small struggling local community library.,후한 인심,그 부유한 은퇴한 후원자는 작고 어려움을 겪는 지역 커뮤니티 도서관에 수백만을 기부함으로써 놀랍게 관대한 후한 인심을 보였다.,気前のよさ,その裕福な引退した後援者は小さく困窮する地元コミュニティ図書館に数百万を寄付することで驚くべき寛大な気前のよさを示した。,慷慨,这位富有的退休赞助人通过向小型挣扎中的本地社区图书馆捐赠数百万展示了非凡慷慨的大方。,liberalidad,El adinerado retirado mecenas mostró notable generosa liberalidad donando millones a la pequeña con dificultades local comunidad biblioteca.,sự hào phóng,Vị ân nhân giàu có đã nghỉ hưu thể hiện sự hào phóng rộng rãi đáng chú ý bằng cách quyên góp hàng triệu cho thư viện cộng đồng địa phương nhỏ đang gặp khó khăn.,การเอื้อเฟื้อ,ผู้อุปถัมภ์ที่เกษียณแล้วที่ร่ำรวยแสดงการเอื้อเฟื้อใจกว้างที่น่าทึ่งโดยการบริจาคหลายล้านให้กับห้องสมุดชุมชนท้องถิ่นเล็กๆ ที่กำลังลำบาก,kemurahan hati,Patron pensiunan kaya menunjukkan kemurahan hati luar biasa dengan menyumbangkan jutaan ke perpustakaan komunitas lokal kecil yang berjuang.
laud,The international academic community will publicly laud her groundbreaking research achievements at next month's prestigious scientific awards ceremony.,찬양하다,국제 학술 공동체는 다음 달 명망 있는 과학 시상식에서 그녀의 획기적인 연구 성과를 공개적으로 찬양할 것이다.,称賛する,国際学術界は来月の名誉ある科学賞授賞式で彼女の画期的研究成果を公に称賛する。,赞颂,国际学术界将在下个月著名科学奖颁奖典礼上公开赞颂她开创性的研究成就。,elogiar,La internacional comunidad académica públicamente elogiará sus revolucionarios logros de investigación en la prestigiosa ceremonia científica de premios del próximo mes.,ca ngợi,Cộng đồng học thuật quốc tế sẽ công khai ca ngợi những thành tựu nghiên cứu đột phá của bà tại lễ trao giải khoa học danh giá tháng sau.,สรรเสริญ,ชุมชนวิชาการระหว่างประเทศจะสรรเสริญผลงานวิจัยที่ก้าวล้ำของเธอต่อสาธารณะในพิธีมอบรางวัลทางวิทยาศาสตร์ที่ทรงเกียรติเดือนหน้า,memuji,Komunitas akademis internasional akan secara publik memuji prestasi penelitian terobosannya di upacara penghargaan ilmiah bergengsi bulan depan.
libation,The senior priests carefully poured a small ceremonial libation onto the ancient sacred altar during the solemn formal religious ceremony.,헌주,선임 사제들은 엄숙한 공식 종교 의식 동안 고대 신성한 제단 위에 작은 의식용 헌주를 신중하게 부었다.,献酒,シニア司祭たちは厳粛な正式宗教儀式の間に古代の神聖な祭壇の上に小さな儀式用の献酒を慎重に注いだ。,奠酒,资深祭司在庄严正式的宗教仪式期间小心地将一杯小型仪式奠酒倾倒在古老神圣的祭坛上。,libación,Los sacerdotes senior cuidadosamente vertieron una pequeña ceremonial libación sobre el antiguo sagrado altar durante la solemne formal religiosa ceremonia.,lễ rượu,Các thầy tu cấp cao đã cẩn thận đổ một lễ rượu nghi lễ nhỏ lên bàn thờ thiêng liêng cổ xưa trong nghi lễ tôn giáo chính thức trang trọng.,การถวายเครื่องดื่ม,พระสงฆ์อาวุโสเทเครื่องดื่มพิธีกรรมเล็กๆ ลงบนแท่นบูชาศักดิ์สิทธิ์โบราณอย่างระมัดระวังในระหว่างพิธีกรรมทางศาสนาที่เป็นทางการและศักดิ์สิทธิ์,sesajen minuman,Pendeta senior dengan hati-hati menuangkan sesajen minuman seremonial kecil ke altar suci kuno selama upacara religius formal khusyuk.
libel,The famous celebrity sued the major newspaper for printing serious libel about her private personal life last summer.,명예훼손,그 유명한 연예인은 지난 여름 자신의 사적인 개인 삶에 대한 심각한 명예훼손을 인쇄한 것에 대해 주요 신문사를 고소했다.,名誉毀損,その有名な著名人は昨夏自身の私的な個人生活についての深刻な名誉毀損を印刷したことで主要新聞社を訴えた。,诽谤,这位著名名人去年夏天起诉这家主要报纸刊登有关她私人生活的严重诽谤。,difamación,La famosa celebridad demandó al gran periódico por imprimir grave difamación sobre su privada personal vida el verano pasado.,sự bôi nhọ,Người nổi tiếng đã kiện tờ báo lớn vì in sự bôi nhọ nghiêm trọng về cuộc sống cá nhân riêng tư của cô mùa hè năm ngoái.,การหมิ่นประมาท,คนดังที่มีชื่อเสียงฟ้องหนังสือพิมพ์รายใหญ่ที่พิมพ์การหมิ่นประมาทอย่างร้ายแรงเกี่ยวกับชีวิตส่วนตัวของเธอเมื่อฤดูร้อนที่แล้ว,fitnah tertulis,Selebritas terkenal menuntut surat kabar besar karena mencetak fitnah tertulis serius tentang kehidupan pribadinya musim panas lalu.
libertine,The notorious wealthy libertine spent decades pursuing every possible immediate pleasure regardless of any traditional accepted social moral conventions.,방탕한 사람,그 악명 높고 부유한 방탕한 사람은 어떤 전통적으로 받아들여진 사회적 도덕 관습에도 상관없이 가능한 모든 즉각적인 쾌락을 추구하는 데 수십 년을 보냈다.,放蕩者,その悪名高く裕福な放蕩者はあらゆる伝統的に受け入れられた社会的道徳規範に関係なく可能なすべての即時的快楽を追求するのに数十年を費やした。,放荡者,这位臭名昭著的富有放荡者花了几十年时间追求每一种可能的即时享乐不顾任何传统接受的社会道德规范。,libertino,El notorio adinerado libertino pasó décadas persiguiendo cada posible inmediato placer sin importar ninguna tradicional aceptada social moral convención.,kẻ phóng đãng,Kẻ phóng đãng giàu có khét tiếng đã dành hàng thập kỷ theo đuổi mọi khoái lạc tức thì có thể bất chấp mọi quy ước đạo đức xã hội truyền thống được chấp nhận.,คนเสเพล,คนเสเพลที่ร่ำรวยและมีชื่อเสียงในทางที่ไม่ดีใช้เวลาหลายทศวรรษในการแสวงหาความสุขทุกอย่างที่เป็นไปได้ทันทีโดยไม่คำนึงถึงขนบธรรมเนียมศีลธรรมทางสังคมแบบดั้งเดิมที่ได้รับการยอมรับ,bajingan moral,Bajingan moral kaya terkenal menghabiskan puluhan tahun mengejar setiap kesenangan langsung yang mungkin tanpa memandang konvensi moral sosial tradisional diterima.
liminal,Many religious anthropologists carefully study fascinating liminal spaces between distinct cultural categories where complex traditional rituals usually transformative experiences happen frequently together.,경계의,많은 종교 인류학자들은 복잡한 전통 의식이 보통 변화시키는 경험이 함께 자주 일어나는 별개의 문화 범주 사이의 흥미로운 경계 공간을 신중하게 연구한다.,境界の,多くの宗教人類学者は複雑な伝統儀式が通常変容的経験が一緒に頻繁に起こる別個の文化カテゴリーの間にある魅力的な境界空間を慎重に研究する。,过渡的,许多宗教人类学家仔细研究独特文化类别之间复杂传统仪式通常变革性体验经常一起发生的迷人过渡空间。,liminal,Muchos religiosos antropólogos cuidadosamente estudian fascinantes liminales espacios entre distintas culturales categorías donde complejos tradicionales rituales usualmente transformadores experiencias suceden frecuentemente juntos.,ngưỡng cửa,Nhiều nhà nhân học tôn giáo cẩn thận nghiên cứu những không gian ngưỡng cửa hấp dẫn giữa các phạm trù văn hóa riêng biệt nơi các nghi lễ truyền thống phức tạp thường trải nghiệm biến đổi xảy ra cùng nhau thường xuyên.,ช่วงเปลี่ยนผ่าน,นักมานุษยวิทยาทางศาสนาหลายคนศึกษาพื้นที่ช่วงเปลี่ยนผ่านที่น่าสนใจระหว่างหมวดหมู่ทางวัฒนธรรมที่แตกต่างกันซึ่งพิธีกรรมดั้งเดิมที่ซับซ้อนมักจะมีประสบการณ์เปลี่ยนแปลงเกิดขึ้นพร้อมกันอย่างระมัดระวัง,ambang batas,Banyak antropolog religius dengan hati-hati mempelajari ruang ambang batas menarik antara kategori budaya berbeda di mana ritual tradisional kompleks biasanya pengalaman transformatif terjadi sering bersama.
litany,The frustrated team leader recited a long detailed litany of complaints about every single recent ongoing serious workplace problem.,긴 목록,그 좌절한 팀 리더는 매 최근 진행 중인 심각한 직장 문제에 대한 불만의 길고 상세한 긴 목록을 낭독했다.,延々と続くもの,その不満を抱いたチームリーダーは最近進行中の深刻な職場の問題一つひとつについての不満の長く詳細な延々と続くものを朗読した。,一长串,这位失望的团队领导背诵了关于最近正在进行的每一个严重职场问题的冗长详细的一长串抱怨。,letanía,El frustrado líder del equipo recitó una larga detallada letanía de quejas sobre cada reciente continuo grave problema laboral.,danh sách dài,Trưởng nhóm thất vọng đã đọc lại một danh sách dài chi tiết các khiếu nại về mọi vấn đề nơi làm việc nghiêm trọng gần đây đang diễn ra.,รายการยาวเหยียด,หัวหน้าทีมที่หงุดหงิดท่องรายการยาวเหยียดของการร้องเรียนเกี่ยวกับปัญหาในที่ทำงานที่ร้ายแรงทุกประเด็นที่กำลังดำเนินอยู่,litani,Pemimpin tim yang frustrasi membacakan litani panjang terperinci tentang keluhan setiap masalah tempat kerja serius berkelanjutan baru-baru ini.
luminary,The famous senior literary luminary visited our university bookstore last week to formally autograph her recently published bestselling novel.,저명인사,그 유명한 시니어 문학 저명인사는 지난 주에 자신의 최근 출판된 베스트셀러 소설에 공식적으로 사인하기 위해 우리 대학 서점을 방문했다.,著名人,その有名なシニア文学界の著名人は先週自身の最近出版されたベストセラー小説に公式にサインするため我々の大学書店を訪れた。,杰出人物,这位著名的资深文学界杰出人物上周访问了我们的大学书店为她最近出版的畅销小说正式签名。,lumbrera,La famosa senior literaria lumbrera visitó nuestra universidad librería la semana pasada para formalmente autografiar su recientemente publicada bestseller novela.,người nổi tiếng,Người nổi tiếng văn học cao cấp nổi tiếng đã đến thăm hiệu sách đại học của chúng tôi tuần trước để ký tặng chính thức cuốn tiểu thuyết bán chạy nhất mới xuất bản của bà.,ผู้นำที่โดดเด่น,ผู้นำที่โดดเด่นทางวรรณกรรมอาวุโสที่มีชื่อเสียงไปเยี่ยมร้านหนังสือมหาวิทยาลัยของเราเมื่อสัปดาห์ที่แล้วเพื่อเซ็นชื่อในนวนิยายขายดีที่เพิ่งตีพิมพ์อย่างเป็นทางการ,tokoh terkemuka,Tokoh terkemuka sastra senior terkenal mengunjungi toko buku universitas kami minggu lalu untuk secara resmi menandatangani novel laris yang baru diterbitkan.
lurid,Sensational tabloid magazines often print exaggerated lurid sensational stories about celebrities to attract more curious paying daily readers.,선정적인,선정적인 타블로이드 잡지들은 더 많은 호기심 많은 매일 유료 독자를 끌어들이기 위해 종종 유명인에 대한 과장되고 선정적인 자극적인 이야기를 인쇄한다.,毒々しい,扇情的なタブロイド雑誌はより多くの好奇心旺盛な毎日有料読者を引き付けるためにしばしば著名人に関する誇張された毒々しい扇情的な物語を印刷する。,耸人听闻的,煽情的小报杂志经常刊登关于名人的夸张耸人听闻刺激故事以吸引更多好奇付费日常读者。,sensacionalista,Las sensacionalistas tabloides revistas a menudo imprimen exagerados sensacionalistas sensacionales historias sobre celebridades para atraer más curiosos pagantes diarios lectores.,giật gân,Các tạp chí lá cải giật gân thường in những câu chuyện giật gân phóng đại về người nổi tiếng để thu hút thêm độc giả trả phí tò mò hàng ngày.,เร้าใจ,นิตยสารแทบลอยด์ที่เน้นเร้าอารมณ์มักจะตีพิมพ์เรื่องราวที่เกินจริงและเร้าใจเกี่ยวกับคนดังเพื่อดึงดูดผู้อ่านที่อยากรู้อยากเห็นที่จ่ายเงินรายวันมากขึ้น,vulgar mengejutkan,Majalah tabloid sensasional sering mencetak cerita vulgar mengejutkan dibesar-besarkan tentang selebritas untuk menarik lebih banyak pembaca harian berbayar penasaran.
machination,The clever powerful corrupt minister was eventually publicly exposed for elaborate political machination involving several other senior officials.,책략,그 영리하고 강력한 부패한 장관은 결국 다른 여러 시니어 관리들이 관련된 정교한 정치적 책략으로 공개적으로 폭로되었다.,陰謀,その賢く強力で腐敗した大臣は最終的に他の数人のシニア官僚を巻き込む精巧な政治的陰謀のため公に暴露された。,阴谋,这位狡猾强大腐败的部长最终因涉及其他几位资深官员的精心政治阴谋而被公开揭发。,maquinación,El astuto poderoso corrupto ministro fue eventualmente públicamente expuesto por elaborada política maquinación involucrando a varios otros senior funcionarios.,âm mưu,Vị bộ trưởng tham nhũng mạnh mẽ khôn ngoan cuối cùng đã bị phơi bày công khai vì âm mưu chính trị tinh vi liên quan đến một số quan chức cấp cao khác.,การวางแผนชั่วร้าย,รัฐมนตรีที่ทุจริตที่ทรงพลังและฉลาดในที่สุดก็ถูกเปิดโปงต่อสาธารณะสำหรับการวางแผนชั่วร้ายทางการเมืองที่ซับซ้อนซึ่งเกี่ยวข้องกับเจ้าหน้าที่อาวุโสคนอื่นๆ หลายคน,intrik licik,Menteri korup kuat cerdik akhirnya terbongkar publik karena intrik licik politik rumit melibatkan beberapa pejabat senior lain.
malefactor,The notorious dangerous serial malefactor was finally officially captured by determined police detectives in the small remote isolated mountain border village last week.,범죄자,그 악명 높고 위험한 연쇄 범죄자는 지난 주에 결연한 경찰 형사들에 의해 작고 외딴 고립된 산악 국경 마을에서 마침내 공식적으로 체포되었다.,悪行者,その悪名高く危険な連続悪行者は先週決意した警察刑事によって小さく遠く離れた孤立した山岳国境の村でついに公式に捕らえられた。,作恶者,这位臭名昭著的危险连环作恶者上周终于在小型偏远孤立的山区边境村庄被坚定的警察侦探正式逮捕。,malhechor,El notorio peligroso serial malhechor fue finalmente oficialmente capturado por determinados policías detectives en la pequeña remota aislada montaña fronterizo pueblo la semana pasada.,kẻ phạm tội,Kẻ phạm tội nguy hiểm hàng loạt khét tiếng cuối cùng đã chính thức bị bắt bởi các thám tử cảnh sát quyết tâm tại ngôi làng biên giới núi cô lập xa xôi nhỏ tuần trước.,ผู้ร้าย,ผู้ร้ายต่อเนื่องที่อันตรายและมีชื่อเสียงในทางที่ไม่ดีในที่สุดก็ถูกจับกุมอย่างเป็นทางการโดยนักสืบตำรวจที่มุ่งมั่นในหมู่บ้านชายแดนภูเขาเล็กที่โดดเดี่ยวห่างไกลเมื่อสัปดาห์ที่แล้ว,penjahat,Penjahat berseri berbahaya terkenal akhirnya secara resmi ditangkap oleh detektif polisi bertekad di desa perbatasan pegunungan terpencil terisolasi kecil minggu lalu.
malign,Aggressive opposition politicians always continued to publicly malign their political opponents shamelessly during every long heated annual election campaign season.,비방하다,공격적인 야당 정치인들은 항상 매 길고 격렬한 연례 선거 운동 시즌 동안 자신들의 정치적 상대를 뻔뻔하게 공개적으로 비방하기를 계속했다.,中傷する,攻撃的な野党政治家はいつも長く激しい年次選挙運動シーズンごとに自身の政敵を恥知らずに公然と中傷し続けた。,中伤,激进的反对派政客在每个漫长激烈的年度选举竞选季节中始终继续无耻地公开中伤他们的政治对手。,calumniar,Los agresivos opositores políticos siempre continuaron públicamente calumniar a sus oponentes políticos descaradamente durante cada larga acalorada anual elección campaña temporada.,bôi nhọ,Các chính trị gia đối lập hung hăng luôn tiếp tục công khai bôi nhọ đối thủ chính trị của họ một cách trơ trẽn trong mỗi mùa chiến dịch bầu cử hàng năm gay gắt kéo dài.,ใส่ร้าย,นักการเมืองฝ่ายค้านที่ก้าวร้าวยังคงใส่ร้ายฝ่ายตรงข้ามทางการเมืองของพวกเขาอย่างเปิดเผยอย่างไม่ละอายในช่วงฤดูกาลรณรงค์การเลือกตั้งประจำปีที่ร้อนแรงและยาวนานเสมอ,memfitnah,Politisi oposisi agresif selalu terus secara publik memfitnah lawan politik mereka tanpa malu selama setiap musim kampanye pemilu tahunan panas panjang.
