coordinate,We need to coordinate our schedules to find a meeting time that works for everyone.,조정하다,우리는 모두에게 맞는 회의 시간을 찾기 위해 일정을 조정할 필요가 있다.,調整する,全員に都合の良い会議時間を見つけるためにスケジュールを調整する必要がある。,协调,我们需要协调日程以找到适合每个人的会议时间。,coordinar,Necesitamos coordinar nuestros horarios para encontrar una hora de reunión que funcione para todos.,phối hợp,Chúng ta cần phối hợp lịch trình để tìm thời gian họp phù hợp cho mọi người.,ประสานงาน,เราต้องประสานตารางเวลาเพื่อหาเวลาประชุมที่เหมาะกับทุกคน,mengoordinasikan,Kita perlu mengoordinasikan jadwal untuk menemukan waktu rapat yang cocok untuk semua.
export,The country plans to export more semiconductors and high-tech products to maintain its strong economic growth.,수출하다,그 나라는 강력한 경제 성장을 유지하기 위해 더 많은 반도체와 첨단 제품을 수출할 계획이다.,輸出する,その国は強力な経済成長を維持するためにより多くの半導体とハイテク製品を輸出する計画だ。,出口,该国计划出口更多的半导体和高科技产品以维持其强劲的经济增长。,exportar,El país planea exportar más semiconductores y productos de alta tecnología para mantener su sólido crecimiento económico.,xuất khẩu,Đất nước này dự định xuất khẩu nhiều chất bán dẫn và sản phẩm công nghệ cao hơn để duy trì tăng trưởng kinh tế mạnh mẽ.,ส่งออก,ประเทศวางแผนส่งออกเซมิคอนดักเตอร์และผลิตภัณฑ์ไฮเทคเพิ่มขึ้นเพื่อรักษาการเติบโตทางเศรษฐกิจที่แข็งแกร่ง,mengekspor,Negara ini berencana mengekspor lebih banyak semikonduktor dan produk berteknologi tinggi untuk mempertahankan pertumbuhan ekonomi yang kuat.
wholesale,The shop owner buys all the produce wholesale every morning at the large central market downtown.,도매로,그 가게 주인은 시내 중심의 큰 도매시장에서 매일 아침 모든 농산물을 도매로 산다.,卸売で,その店主は毎朝、市内中心の大きな卸売市場で全ての農産物を卸売で買う。,批发,店主每天早上在市中心的大型中央市场批发购买所有农产品。,al por mayor,El dueño de la tienda compra todos los productos al por mayor cada mañana en el gran mercado central del centro.,bán buôn,Chủ cửa hàng mua tất cả nông sản theo dạng bán buôn mỗi sáng tại chợ trung tâm lớn trong khu trung tâm thành phố.,ขายส่ง,เจ้าของร้านซื้อสินค้าทั้งหมดแบบขายส่งทุกเช้าที่ตลาดกลางขนาดใหญ่ในตัวเมือง,grosir,Pemilik toko membeli semua produk dengan harga grosir setiap pagi di pasar pusat besar di pusat kota.
retail,Most independent fashion brands prefer to sell their unique products through carefully selected retail boutiques.,소매로,대부분의 독립 패션 브랜드들은 신중하게 선정된 소매 부티크를 통해 그들의 독특한 제품을 판매하는 것을 선호한다.,小売で,ほとんどの独立系ファッションブランドは慎重に選ばれた小売ブティックを通じて独特な製品を販売することを好む。,零售,大多数独立时尚品牌更喜欢通过精心挑选的零售精品店销售其独特产品。,al detalle,La mayoría de las marcas de moda independientes prefieren vender sus productos únicos al detalle en boutiques cuidadosamente seleccionadas.,bán lẻ,Hầu hết các thương hiệu thời trang độc lập thích bán sản phẩm độc đáo của họ qua các cửa hàng bán lẻ được chọn lọc cẩn thận.,ขายปลีก,แบรนด์แฟชั่นอิสระส่วนใหญ่นิยมขายผลิตภัณฑ์ที่เป็นเอกลักษณ์ผ่านบูติกขายปลีกที่คัดสรรมาอย่างพิถีพิถัน,eceran,Sebagian besar merek fesyen independen lebih suka menjual produk unik mereka melalui butik eceran yang dipilih dengan cermat.
tailor,The shop owner offered to tailor the suit to perfectly fit my specific measurements within just three business days.,맞추다,가게 주인은 단 3영업일 내에 내 특정 치수에 완벽하게 맞도록 정장을 맞춰주겠다고 제안했다.,仕立てる,店主はわずか3営業日以内に私の特定の寸法に完璧に合うよう、スーツを仕立てると申し出た。,定制,店主提议在仅仅三个工作日内将西装定制以完美贴合我的具体尺寸。,confeccionar a medida,El dueño de la tienda se ofreció a confeccionar a medida el traje para que se ajustara perfectamente a mis medidas específicas en solo tres días hábiles.,may đo,Chủ cửa hàng đề nghị may đo bộ vest cho vừa khít số đo cụ thể của tôi chỉ trong ba ngày làm việc.,ตัดเย็บ,เจ้าของร้านเสนอที่จะตัดเย็บสูทให้พอดีกับขนาดเฉพาะของฉันภายในเพียงสามวันทำการ,menjahit khusus,Pemilik toko menawarkan untuk menjahit khusus setelan agar pas sempurna dengan ukuran spesifik saya dalam waktu hanya tiga hari kerja.
stitch,The grandmother carefully stitched the torn fabric back together using a delicate gold thread from her precious sewing kit.,꿰매다,할머니는 자신의 소중한 바느질 도구에서 가져온 섬세한 금실을 사용하여 찢어진 천을 조심스럽게 꿰맸다.,縫う,祖母は自分の大切な裁縫道具からの繊細な金糸を使って破れた布を慎重に縫い合わせた。,缝合,奶奶用她珍贵的针线包里的精致金线小心地将撕裂的织物缝合在一起。,coser,La abuela cosió cuidadosamente la tela rota usando un delicado hilo dorado de su preciado kit de costura.,khâu,Bà cẩn thận khâu lại tấm vải bị rách bằng sợi chỉ vàng tinh tế từ bộ đồ may quý giá của bà.,เย็บ,คุณยายเย็บผ้าที่ขาดให้กลับมาติดกันอย่างระมัดระวังโดยใช้เส้นด้ายทองที่ละเอียดอ่อนจากชุดเย็บผ้าอันล้ำค่าของเธอ,menjahit,Nenek dengan hati-hati menjahit kembali kain yang robek menggunakan benang emas halus dari perangkat jahit berharganya.
knit,The skilled grandmother loves to knit colorful sweaters and warm scarves for her grandchildren during the long winter months.,뜨개질하다,그 솜씨 좋은 할머니는 긴 겨울 동안 손주들을 위해 형형색색의 스웨터와 따뜻한 목도리를 뜨개질하는 것을 좋아한다.,編む,その熟練した祖母は長い冬の間に孫たちのためにカラフルなセーターと暖かいマフラーを編むのが大好きだ。,编织,这位手艺娴熟的祖母喜欢在漫长冬季为孙辈编织色彩缤纷的毛衣和温暖的围巾。,tejer,La hábil abuela ama tejer suéteres coloridos y bufandas calientes para sus nietos durante los largos meses de invierno.,đan,Người bà khéo léo thích đan áo len nhiều màu và khăn quàng ấm cho các cháu trong những tháng mùa đông dài.,ถัก,คุณยายที่มีฝีมือชอบถักเสื้อสเวตเตอร์สีสันสดใสและผ้าพันคออบอุ่นให้หลานๆ ในช่วงเดือนฤดูหนาวที่ยาวนาน,merajut,Nenek yang terampil senang merajut sweter warna-warni dan syal hangat untuk cucu-cucunya selama bulan musim dingin yang panjang.
weave,Local artisans weave intricate traditional patterns into beautiful handmade rugs that are sold worldwide.,짜다,지역 장인들은 정교한 전통 문양을 전 세계에 판매되는 아름다운 수제 양탄자에 짜 넣는다.,織る,地元の職人は精巧な伝統模様を世界中で販売される美しい手作りの絨毯に織り込む。,编织,当地工匠将复杂的传统图案编织到销往世界各地的精美手工地毯中。,tejer artesanalmente,Los artesanos locales tejen artesanalmente intrincados patrones tradicionales en hermosas alfombras hechas a mano vendidas en todo el mundo.,dệt,Các nghệ nhân địa phương dệt các họa tiết truyền thống phức tạp vào những tấm thảm thủ công đẹp bán khắp thế giới.,ทอ,ช่างฝีมือท้องถิ่นทอลวดลายดั้งเดิมที่ซับซ้อนลงในพรมทำมือที่สวยงามซึ่งขายไปทั่วโลก,menenun,Pengrajin lokal menenun pola tradisional yang rumit ke dalam permadani buatan tangan yang indah yang dijual di seluruh dunia.
braid,The young athlete asked her older sister to braid her long hair tightly before the important swimming championship.,땋다,그 어린 운동선수는 중요한 수영 챔피언십 전에 언니에게 긴 머리를 단단히 땋아 달라고 부탁했다.,編み込む,その若いアスリートは重要な水泳大会の前に姉に長い髪をしっかりと編み込むよう頼んだ。,编辫子,这位年轻运动员在重要的游泳锦标赛之前请求姐姐将她的长发编成紧实的辫子。,trenzar,La joven atleta pidió a su hermana mayor que le trenzara el cabello largo bien ajustado antes del importante campeonato de natación.,tết tóc,Vận động viên trẻ nhờ chị gái tết tóc dài chặt cho cô trước giải bơi quan trọng.,ถักเปีย,นักกีฬาสาวขอให้พี่สาวถักเปียผมยาวของเธอให้แน่นก่อนการแข่งขันว่ายน้ำชิงแชมป์ที่สำคัญ,mengepang,Atlet muda meminta kakak perempuannya mengepang rambut panjangnya dengan kencang sebelum kejuaraan renang penting.
roast,My uncle prefers to roast the lamb slowly with rosemary and garlic on Sunday afternoons for the family gathering.,굽다,우리 삼촌은 가족 모임을 위해 일요일 오후에 양고기를 로즈마리와 마늘과 함께 천천히 굽는 것을 선호한다.,ローストする,叔父は家族の集まりのために日曜の午後にラム肉をローズマリーとニンニクと共にゆっくりとローストするのを好む。,烤,我叔叔喜欢在周日下午用迷迭香和大蒜慢慢烤羊肉以供家庭聚会。,asar al horno,A mi tío le gusta asar al horno el cordero lentamente con romero y ajo los domingos por la tarde para la reunión familiar.,nướng chậm,Chú tôi thích nướng chậm thịt cừu cùng hương thảo và tỏi vào chiều chủ nhật cho buổi tụ họp gia đình.,อบ,ลุงของฉันชอบอบเนื้อแกะช้าๆ พร้อมโรสแมรี่และกระเทียมในบ่ายวันอาทิตย์สำหรับการพบปะครอบครัว,memanggang,Paman saya lebih suka memanggang daging domba perlahan dengan rosemary dan bawang putih pada Minggu sore untuk pertemuan keluarga.
bake,The pastry chef will bake a fresh batch of croissants every morning at exactly five o'clock for the breakfast service.,굽다,페이스트리 셰프는 아침 식사 서비스를 위해 매일 아침 정확히 5시에 신선한 크루아상 한 배치를 구울 것이다.,焼く,パティシエは朝食サービスのために毎朝きっかり5時に新鮮なクロワッサンを一回分焼く。,烘焙,糕点师每天早上五点准时为早餐服务烘焙一批新鲜的牛角面包。,hornear,El pastelero horneará una tanda fresca de croissants cada mañana exactamente a las cinco para el servicio de desayuno.,nướng bánh,Đầu bếp bánh ngọt sẽ nướng bánh một mẻ bánh sừng bò mới mỗi sáng đúng năm giờ cho dịch vụ bữa sáng.,อบขนม,เชฟขนมอบจะอบขนมครัวซองต์ชุดใหม่ทุกเช้าเวลาห้านาฬิกาตรงสำหรับบริการอาหารเช้า,memanggang roti,Koki pastri akan memanggang roti sebatch croissant baru setiap pagi tepat pukul lima untuk layanan sarapan.
grill,On warm summer evenings my neighbors grill burgers and corn together on the spacious backyard patio.,그릴에 굽다,따뜻한 여름 저녁에 우리 이웃들은 넓은 뒷마당 파티오에서 함께 햄버거와 옥수수를 그릴에 굽는다.,グリルで焼く,暖かい夏の夜に隣人たちは広い裏庭のパティオで一緒にバーガーとトウモロコシをグリルで焼く。,烧烤,在温暖的夏夜邻居们一起在宽敞的后院露台上烧烤汉堡和玉米。,asar a la parrilla,En cálidas noches de verano mis vecinos asan a la parrilla hamburguesas y maíz juntos en el espacioso patio trasero.,nướng vỉ,Vào những tối hè ấm áp hàng xóm của tôi cùng nhau nướng vỉ bánh mì kẹp và bắp ngô trên sân sau rộng rãi.,ย่าง,ในยามเย็นฤดูร้อนที่อบอุ่นเพื่อนบ้านของฉันย่างเบอร์เกอร์และข้าวโพดด้วยกันบนระเบียงหลังบ้านที่กว้างขวาง,memanggang barbeku,Pada malam musim panas yang hangat tetangga saya memanggang barbeku burger dan jagung bersama di teras belakang yang luas.
steam,The chef will steam the fresh vegetables briefly to preserve their bright colors and essential nutrients before serving.,찌다,셰프는 제공 전에 신선한 채소를 잠시 쪄서 밝은 색상과 필수 영양소를 보존할 것이다.,蒸す,シェフは提供前に新鮮な野菜を短時間蒸して明るい色と必須栄養素を保つ。,蒸,厨师将在上桌前短暂蒸新鲜蔬菜以保留其鲜艳颜色和必需营养素。,cocer al vapor,El chef cocerá al vapor las verduras frescas brevemente para preservar sus colores brillantes y nutrientes esenciales antes de servir.,hấp,Đầu bếp sẽ hấp rau tươi trong thời gian ngắn để giữ màu sắc tươi sáng và chất dinh dưỡng thiết yếu trước khi phục vụ.,นึ่ง,เชฟจะนึ่งผักสดอย่างสั้นเพื่อรักษาสีสันสดใสและสารอาหารที่จำเป็นก่อนเสิร์ฟ,mengukus,Koki akan mengukus sayuran segar sebentar untuk mempertahankan warnanya yang cerah dan nutrisi penting sebelum disajikan.
toast,Many guests prefer to toast their bread until it turns a perfect golden brown before adding any butter or jam.,굽다,많은 손님들이 버터나 잼을 바르기 전에 빵이 완벽한 황금빛 갈색으로 변할 때까지 굽는 것을 선호한다.,トーストする,多くの客はバターやジャムを塗る前にパンを完璧な黄金色になるまでトーストするのを好む。,烤,许多客人喜欢在涂抹任何黄油或果酱之前将面包烤至完美的金黄色。,tostar,Muchos invitados prefieren tostar su pan hasta que adquiera un tono dorado perfecto antes de añadir mantequilla o mermelada.,nướng giòn,Nhiều khách thích nướng giòn bánh mì cho đến khi chuyển sang màu vàng nâu hoàn hảo trước khi phết bơ hay mứt.,ปิ้ง,แขกหลายคนชอบปิ้งขนมปังจนเป็นสีน้ำตาลทองสมบูรณ์แบบก่อนเติมเนยหรือแยม,memanggang roti,Banyak tamu lebih suka memanggang roti mereka hingga berwarna cokelat keemasan sempurna sebelum menambahkan mentega atau selai.
fry,Be careful not to fry the eggs at too high a temperature or the bottom will burn quickly.,튀기다,너무 높은 온도에서 달걀을 튀기지 않도록 조심해라 그렇지 않으면 아래가 빨리 탈 것이다.,揚げる,卵をあまり高い温度で揚げないよう注意してください、そうしないと底がすぐに焦げてしまいます。,煎,小心不要在过高的温度下煎鸡蛋否则底部会很快烧焦。,freír,Ten cuidado de no freír los huevos a una temperatura demasiado alta o el fondo se quemará rápidamente.,chiên,Hãy cẩn thận đừng chiên trứng ở nhiệt độ quá cao nếu không phần đáy sẽ bị cháy nhanh chóng.,ทอด,ระวังอย่าทอดไข่ที่อุณหภูมิสูงเกินไปไม่อย่างนั้นด้านล่างจะไหม้อย่างรวดเร็ว,menggoreng,Hati-hati jangan menggoreng telur pada suhu terlalu tinggi atau bagian bawahnya akan cepat gosong.
sip,She likes to sip her hot tea slowly while reading a good novel by the window on rainy afternoons.,한 모금씩 마시다,그녀는 비 오는 오후 창가에서 좋은 소설을 읽으면서 뜨거운 차를 천천히 한 모금씩 마시는 것을 좋아한다.,少しずつ飲む,彼女は雨の午後に窓辺で良い小説を読みながら熱いお茶を少しずつ飲むのを好む。,小口品尝,她喜欢在雨天的下午坐在窗边读一本好小说时慢慢小口品尝热茶。,sorber,A ella le gusta sorber su té caliente lentamente mientras lee una buena novela junto a la ventana las tardes lluviosas.,nhấp,Cô ấy thích nhấp trà nóng từng ngụm chậm rãi trong khi đọc một cuốn tiểu thuyết hay bên cửa sổ vào những chiều mưa.,จิบ,เธอชอบจิบชาร้อนช้าๆ ขณะอ่านนวนิยายดีๆ ที่ริมหน้าต่างในยามบ่ายฝนตก,menyeruput,Dia suka menyeruput teh panasnya perlahan sambil membaca novel yang bagus di dekat jendela di sore yang hujan.
chew,Children should chew their food thoroughly to help with digestion and avoid stomach discomfort after meals.,씹다,어린이들은 소화를 돕고 식후 위장 불편함을 피하기 위해 음식을 충분히 씹어야 한다.,噛む,子供たちは消化を助け食後の胃の不快感を避けるために食べ物をよく噛むべきだ。,咀嚼,孩子们应充分咀嚼食物以帮助消化并避免饭后胃部不适。,masticar,Los niños deben masticar bien la comida para ayudar a la digestión y evitar molestias estomacales después de las comidas.,nhai,Trẻ em nên nhai kỹ thức ăn để hỗ trợ tiêu hóa và tránh khó chịu dạ dày sau bữa ăn.,เคี้ยว,เด็กควรเคี้ยวอาหารให้ละเอียดเพื่อช่วยการย่อยและหลีกเลี่ยงอาการไม่สบายท้องหลังมื้ออาหาร,mengunyah,Anak-anak harus mengunyah makanan mereka dengan baik untuk membantu pencernaan dan menghindari ketidaknyamanan lambung setelah makan.
swallow,Patients with sore throats often find it difficult to swallow even small sips of cool water comfortably.,삼키다,목 통증이 있는 환자들은 종종 시원한 물 한 모금조차 편안하게 삼키기 어려워한다.,飲み込む,喉が痛い患者はしばしば冷たい水一口でさえも快適に飲み込むのが難しい。,吞咽,喉咙痛的患者经常发现连一小口凉水都难以舒适地吞咽。,tragar,Los pacientes con dolor de garganta a menudo encuentran difícil tragar incluso pequeños sorbos de agua fría con comodidad.,nuốt,Bệnh nhân bị đau họng thường thấy khó nuốt thoải mái dù chỉ một ngụm nước mát nhỏ.,กลืน,ผู้ป่วยที่เจ็บคอมักจะกลืนน้ำเย็นแม้แต่จิบเล็กๆ ได้ยากลำบาก,menelan,Pasien dengan sakit tenggorokan sering merasa sulit menelan walaupun hanya tegukan kecil air dingin dengan nyaman.
inhale,Try to inhale deeply through your nose for at least four full seconds before slowly exhaling all the air.,들이마시다,모든 공기를 천천히 내쉬기 전에 적어도 4초 동안 코로 깊이 들이마시도록 노력해라.,吸い込む,すべての空気をゆっくり吐き出す前に少なくとも4秒間鼻から深く吸い込むようにしてください。,吸气,在缓慢呼出所有空气之前请尝试用鼻子深深吸气至少四秒钟。,inhalar,Trata de inhalar profundamente por la nariz durante al menos cuatro segundos completos antes de exhalar lentamente todo el aire.,hít vào,Cố hít vào sâu qua mũi ít nhất bốn giây trước khi thở ra chậm tất cả không khí.,หายใจเข้า,พยายามหายใจเข้าลึกๆ ทางจมูกอย่างน้อยสี่วินาทีเต็มก่อนค่อยๆ หายใจออกอากาศทั้งหมด,menghirup,Cobalah menghirup dalam-dalam melalui hidung Anda setidaknya selama empat detik penuh sebelum perlahan menghembuskan semua udara.
exhale,Yoga instructors often remind students to exhale completely whenever they move into a deeper stretching position.,내쉬다,요가 강사들은 학생들이 더 깊은 스트레칭 자세로 들어갈 때마다 완전히 내쉬도록 자주 상기시킨다.,吐く,ヨガインストラクターは生徒たちがより深いストレッチの姿勢に入るたびに完全に吐くようよく注意を促す。,呼气,瑜伽教练经常提醒学生在进入更深的伸展姿势时完全呼气。,exhalar,Los instructores de yoga a menudo recuerdan a los estudiantes que exhalen completamente cada vez que se mueven a una posición de estiramiento más profunda.,thở ra,Huấn luyện viên yoga thường nhắc học viên thở ra hoàn toàn mỗi khi chuyển sang tư thế kéo giãn sâu hơn.,หายใจออก,ครูสอนโยคะมักเตือนนักเรียนให้หายใจออกอย่างเต็มที่ทุกครั้งที่เคลื่อนเข้าสู่ท่ายืดเหยียดที่ลึกขึ้น,menghembuskan napas,Instruktur yoga sering mengingatkan siswa untuk menghembuskan napas sepenuhnya setiap kali mereka berpindah ke posisi peregangan yang lebih dalam.
stretch,Office workers should stretch their backs and shoulders regularly to prevent stiffness and reduce long term posture problems.,스트레칭하다,사무직 근로자들은 뻣뻣함을 예방하고 장기적인 자세 문제를 줄이기 위해 정기적으로 등과 어깨를 스트레칭해야 한다.,ストレッチする,事務職の人は固さを防ぎ長期的な姿勢の問題を減らすために定期的に背中と肩をストレッチすべきだ。,伸展,办公室工作者应定期伸展背部和肩膀以防止僵硬并减少长期姿势问题。,estirarse,Los trabajadores de oficina deben estirarse la espalda y los hombros regularmente para evitar la rigidez y reducir problemas posturales a largo plazo.,căng cơ,Người làm văn phòng nên căng cơ lưng và vai thường xuyên để ngừa cứng cơ và giảm vấn đề tư thế lâu dài.,ยืดเส้นยืดสาย,พนักงานออฟฟิศควรยืดเส้นยืดสายหลังและไหล่อย่างสม่ำเสมอเพื่อป้องกันความตึงและลดปัญหาท่าทางในระยะยาว,meregangkan,Pekerja kantoran sebaiknya meregangkan punggung dan bahu mereka secara teratur untuk mencegah kekakuan dan mengurangi masalah postur jangka panjang.
crouch,The photographer had to crouch low among the tall grass to capture the perfect shot of the shy young deer.,웅크리다,그 사진작가는 수줍은 어린 사슴의 완벽한 사진을 찍기 위해 키 큰 풀 사이에 낮게 웅크려야 했다.,しゃがむ,その写真家は内気な若い鹿の完璧な写真を撮るために背の高い草の中に低くしゃがまなければならなかった。,蹲下,摄影师不得不在高高的草丛中低低蹲下以捕捉害羞小鹿的完美照片。,agacharse,El fotógrafo tuvo que agacharse entre la hierba alta para capturar la toma perfecta del joven ciervo tímido.,khom xuống,Nhiếp ảnh gia phải khom xuống thấp giữa đám cỏ cao để chụp được khoảnh khắc hoàn hảo của chú nai non nhút nhát.,หมอบ,ช่างภาพต้องหมอบต่ำในหญ้าสูงเพื่อจับภาพที่สมบูรณ์แบบของกวางหนุ่มขี้อาย,berjongkok,Fotografer harus berjongkok rendah di antara rumput tinggi untuk menangkap bidikan sempurna rusa muda yang pemalu.
hike,Every spring weekend my close friends and I love to hike along the rugged mountain trails near the national park.,등산하다,봄철 주말마다 내 친한 친구들과 나는 국립공원 근처의 험준한 산길을 따라 등산하는 것을 좋아한다.,ハイキングする,毎年春の週末に親しい友人と私は国立公園近くの険しい山道に沿ってハイキングするのが大好きだ。,徒步,每个春季周末我和亲密的朋友们都喜欢沿着国家公园附近崎岖的山间小道徒步。,hacer senderismo,Cada fin de semana de primavera mis amigos cercanos y yo amamos hacer senderismo por los senderos montañosos escarpados cerca del parque nacional.,leo núi,Cuối tuần mùa xuân nào tôi và bạn thân đều thích leo núi dọc theo những con đường mòn gập ghềnh gần công viên quốc gia.,เดินป่า,ทุกสุดสัปดาห์ฤดูใบไม้ผลิเพื่อนสนิทของฉันและฉันชอบเดินป่าไปตามเส้นทางภูเขาขรุขระใกล้อุทยานแห่งชาติ,mendaki,Setiap akhir pekan musim semi teman-teman dekat saya dan saya senang mendaki di sepanjang jalur gunung yang terjal dekat taman nasional.
jog,He likes to jog around the lake every morning before starting his demanding office job in the city center.,조깅하다,그는 도시 중심부의 까다로운 사무직을 시작하기 전에 매일 아침 호수 주변을 조깅하는 것을 좋아한다.,ジョギングする,彼は都心の厳しい事務職を始める前に毎朝湖の周りをジョギングするのを好む。,慢跑,他喜欢在每天早晨开始他在市中心要求很高的办公室工作之前绕湖慢跑。,trotar,Le gusta trotar alrededor del lago todas las mañanas antes de comenzar su exigente trabajo de oficina en el centro de la ciudad.,chạy bộ,Anh ấy thích chạy bộ quanh hồ mỗi sáng trước khi bắt đầu công việc văn phòng đòi hỏi cao ở trung tâm thành phố.,วิ่งจ๊อกกิ้ง,เขาชอบวิ่งจ๊อกกิ้งรอบทะเลสาบทุกเช้าก่อนเริ่มงานสำนักงานที่ต้องการสูงในใจกลางเมือง,joging,Dia suka joging mengelilingi danau setiap pagi sebelum memulai pekerjaan kantornya yang menuntut di pusat kota.
dive,Experienced divers can dive to incredible depths to explore vibrant coral reefs and observe rare marine wildlife up close.,잠수하다,숙련된 다이버들은 활기찬 산호초를 탐험하고 희귀한 해양 야생생물을 가까이서 관찰하기 위해 놀라운 깊이까지 잠수할 수 있다.,潜る,熟練したダイバーは活気あるサンゴ礁を探索し珍しい海洋野生生物を間近で観察するために驚異的な深さまで潜ることができる。,潜水,经验丰富的潜水员可以潜入惊人的深度来探索充满活力的珊瑚礁并近距离观察罕见的海洋野生动物。,bucear,Los buceadores experimentados pueden bucear a profundidades increíbles para explorar arrecifes de coral vibrantes y observar la fauna marina rara de cerca.,lặn,Thợ lặn kinh nghiệm có thể lặn xuống độ sâu đáng kinh ngạc để khám phá các rạn san hô sống động và quan sát động vật biển quý hiếm ở cự ly gần.,ดำน้ำ,นักดำน้ำที่มีประสบการณ์สามารถดำน้ำลงไปในความลึกที่น่าทึ่งเพื่อสำรวจแนวปะการังที่มีชีวิตชีวาและสังเกตสัตว์ทะเลหายากในระยะใกล้,menyelam,Penyelam berpengalaman dapat menyelam ke kedalaman yang menakjubkan untuk menjelajahi terumbu karang yang hidup dan mengamati satwa laut langka dari dekat.
surf,Local teenagers love to surf the powerful ocean waves during the early summer afternoons when the wind picks up.,서핑하다,지역 십대들은 바람이 거세지는 초여름 오후에 강력한 바다 파도를 서핑하는 것을 좋아한다.,サーフィンする,地元のティーンエイジャーは風が強まる初夏の午後に力強い海の波をサーフィンするのが大好きだ。,冲浪,本地青少年喜欢在风势加强的初夏午后冲浪强大的海浪。,surfear,A los adolescentes locales les encanta surfear las poderosas olas del océano durante las tardes de principios de verano cuando el viento aumenta.,lướt sóng,Thanh thiếu niên địa phương thích lướt sóng biển mạnh mẽ vào những buổi chiều đầu hè khi gió mạnh lên.,โต้คลื่น,วัยรุ่นท้องถิ่นชอบโต้คลื่นมหาสมุทรอันทรงพลังในยามบ่ายต้นฤดูร้อนเมื่อลมเริ่มแรง,berselancar,Remaja setempat senang berselancar di ombak laut yang kuat selama sore awal musim panas saat angin mulai kencang.
wade,Tourists need to wade through the shallow stream carefully to reach the famous hidden waterfall deep inside the forest.,걸어서 건너다,관광객들은 숲 깊숙이 있는 유명한 숨겨진 폭포에 도달하기 위해 얕은 개울을 조심스럽게 걸어서 건널 필요가 있다.,歩いて渡る,観光客は森の奥深くにある有名な隠れた滝に到達するために浅い小川を慎重に歩いて渡る必要がある。,涉水,游客需要小心地涉水穿过浅溪以到达森林深处著名的隐藏瀑布。,vadear,Los turistas necesitan vadear el arroyo poco profundo con cuidado para llegar a la famosa cascada oculta en lo profundo del bosque.,lội qua,Du khách phải lội qua con suối cạn một cách cẩn thận để đến thác nước ẩn nổi tiếng sâu trong rừng.,ลุยน้ำ,นักท่องเที่ยวต้องลุยน้ำลำธารตื้นอย่างระมัดระวังเพื่อไปถึงน้ำตกที่ซ่อนเร้นที่มีชื่อเสียงลึกในป่า,mengarungi,Wisatawan perlu mengarungi sungai dangkal dengan hati-hati untuk mencapai air terjun tersembunyi terkenal jauh di dalam hutan.
paddle,The instructor showed beginners how to paddle the kayak smoothly through the calm sections of the winding river.,노를 젓다,강사는 초보자들에게 굽이굽이 흐르는 강의 잔잔한 구간을 카약으로 부드럽게 노를 젓는 법을 보여주었다.,漕ぐ,インストラクターは初心者にうねる川の穏やかな区間でカヤックをスムーズに漕ぐ方法を見せた。,划桨,教练向初学者展示如何在蜿蜒河流的平静段落中平稳地划皮划艇的桨。,remar con pala,El instructor mostró a los principiantes cómo remar con pala el kayak suavemente a través de las secciones tranquilas del río sinuoso.,chèo,Hướng dẫn viên chỉ cho người mới cách chèo kayak nhẹ nhàng qua những đoạn yên ả của con sông quanh co.,พายเรือ,ผู้สอนแสดงให้ผู้เริ่มต้นเห็นวิธีพายเรือคายัคให้ราบรื่นผ่านช่วงที่สงบของแม่น้ำคดเคี้ยว,mengayuh,Instruktur menunjukkan kepada pemula cara mengayuh kayak dengan mulus melalui bagian-bagian tenang dari sungai berkelok-kelok.
row,Three students will row the small boat together across the calm lake during the annual school sports day.,노를 젓다,세 명의 학생이 연례 학교 체육 대회 동안 작은 배를 함께 노 저어 잔잔한 호수를 건널 것이다.,ボートを漕ぐ,三人の生徒は毎年恒例の学校体育祭で小さなボートを一緒に漕いで穏やかな湖を渡る。,划船,三名学生将在年度学校体育日期间一起划船穿过平静的湖泊。,remar,Tres estudiantes remarán juntos el pequeño bote a través del lago tranquilo durante el día deportivo anual de la escuela.,chèo thuyền,Ba học sinh sẽ cùng nhau chèo thuyền nhỏ qua hồ yên lặng trong ngày thể thao thường niên của trường.,พายเรือกรรเชียง,นักเรียนสามคนจะพายเรือกรรเชียงเล็กๆ ร่วมกันข้ามทะเลสาบที่สงบนิ่งในวันกีฬาประจำปีของโรงเรียน,mendayung perahu,Tiga siswa akan mendayung perahu kecil bersama-sama menyeberangi danau yang tenang selama hari olahraga tahunan sekolah.
tow,The roadside service crew will tow the broken-down car back to the nearest repair garage in less than an hour.,견인하다,도로변 서비스 팀이 한 시간 이내에 고장 난 차를 가장 가까운 수리 차고로 견인할 것이다.,牽引する,路上サービス班は一時間以内に故障した車を最寄りの修理工場へ牽引する予定だ。,拖,路边服务队将在一小时内将抛锚的汽车拖回最近的维修车库。,remolcar,El equipo de servicio en carretera remolcará el coche averiado hasta el taller de reparación más cercano en menos de una hora.,kéo xe,Đội dịch vụ ven đường sẽ kéo xe hỏng về xưởng sửa chữa gần nhất trong chưa đầy một giờ.,ลากรถ,ทีมบริการริมถนนจะลากรถที่เสียกลับไปยังอู่ซ่อมที่ใกล้ที่สุดภายในเวลาไม่ถึงหนึ่งชั่วโมง,menderek,Tim layanan pinggir jalan akan menderek mobil yang mogok ke bengkel perbaikan terdekat dalam waktu kurang dari satu jam.
