polynomial,A quadratic equation is a polynomial of degree two with at most two real roots.,다항식,이차방정식은 최대 두 개의 실수 근을 가지는 2차 다항식이다.,多項式,二次方程式は最大二つの実数根を持つ次数2の多項式である。,多项式,二次方程是一个最多有两个实数根的二次多项式。,polinomio,Una ecuación cuadrática es un polinomio de grado dos con a lo sumo dos raíces reales.,đa thức,Phương trình bậc hai là một đa thức bậc hai có tối đa hai nghiệm thực.,พหุนาม,สมการกำลังสองเป็นพหุนามดีกรีสองที่มีรากจริงได้มากที่สุดสองราก,polinomial,Persamaan kuadrat adalah polinomial berderajat dua dengan paling banyak dua akar nyata.
egalitarian,The egalitarian movement championed equal rights and opportunities for all members of society regardless of gender or ethnicity.,평등주의의,평등주의 운동은 성별이나 민족에 관계없이 사회의 모든 구성원에게 동등한 권리와 기회를 옹호했다.,平等主義の,平等主義運動は性別や民族に関係なく社会の全構成員に平等な権利と機会を擁護した。,平等主义的,平等主义运动倡导不论性别或种族社会所有成员都享有平等的权利和机会。,igualitario,El movimiento igualitario defendió la igualdad de derechos y oportunidades para todos los miembros de la sociedad sin importar el género o la etnia.,bình đẳng,Phong trào bình đẳng đã đấu tranh cho quyền bình đẳng và cơ hội cho tất cả thành viên trong xã hội bất kể giới tính hay sắc tộc.,เสมอภาค,ขบวนการเสมอภาคสนับสนุนสิทธิและโอกาสที่เท่าเทียมกันสำหรับสมาชิกทุกคนในสังคมโดยไม่คำนึงถึงเพศหรือชาติพันธุ์,egaliter,Gerakan egaliter memperjuangkan hak dan kesempatan yang setara bagi semua anggota masyarakat tanpa memandang gender atau etnis.
constituency,The politician tailored her message to appeal to her rural constituency whose concerns differed markedly from urban voters.,선거구; 지지 기반,그 정치인은 도시 유권자와 현저히 다른 관심사를 가진 농촌 선거구에 호소하기 위해 메시지를 맞춤화했다.,選挙区,その政治家は都市部の有権者とは著しく異なる関心を持つ農村部の選挙区に訴えるようメッセージを調整した。,选区,这位政治家调整了她的信息以吸引她的农村选区而这些选民的关注点与城市选民明显不同。,circunscripción,La política adaptó su mensaje para atraer a su circunscripción rural cuyas preocupaciones diferían notablemente de las de los votantes urbanos.,khu vực bầu cử,Chính trị gia đó đã điều chỉnh thông điệp để thu hút khu vực bầu cử nông thôn của bà vốn có mối quan tâm khác biệt rõ rệt so với cử tri thành thị.,เขตเลือกตั้ง,นักการเมืองปรับแต่งข้อความเพื่อดึงดูดเขตเลือกตั้งในชนบทซึ่งมีความกังวลแตกต่างอย่างเห็นได้ชัดจากผู้มีสิทธิเลือกตั้งในเมือง,konstituensi,Politisi tersebut menyesuaikan pesannya untuk menarik konstituensi pedesaannya yang kekhawatirannya sangat berbeda dari pemilih perkotaan.
impeachment,The impeachment proceedings dominated the national discourse for several months.,탄핵,탄핵 절차가 수개월 동안 국가적 담론을 지배했다.,弾劾,弾劾手続きは数か月にわたり国内の議論を支配した。,弹劾,弹劾程序在数月内主导了全国性的讨论。,juicio político,Los procedimientos de juicio político dominaron el discurso nacional durante varios meses.,luận tội,Các thủ tục luận tội đã chi phối diễn đàn quốc gia trong nhiều tháng.,การถอดถอน,กระบวนการถอดถอนครอบงำวาทกรรมระดับชาติเป็นเวลาหลายเดือน,pemakzulan,Proses pemakzulan mendominasi wacana nasional selama beberapa bulan.
suffrage,Universal suffrage was only achieved after decades of persistent activism and legislative reform.,참정권; 투표권,보통 선거권은 수십 년간의 끈질긴 활동과 입법 개혁 끝에야 달성되었다.,参政権,普通選挙権は数十年にわたる粘り強い活動と法律改革の後にようやく達成された。,选举权,普选权是在数十年的持续行动和立法改革之后才实现的。,sufragio,El sufragio universal solo se logró después de décadas de activismo persistente y reforma legislativa.,quyền bầu cử,Quyền bầu cử phổ thông chỉ đạt được sau nhiều thập kỷ hoạt động kiên trì và cải cách lập pháp.,สิทธิเลือกตั้ง,สิทธิเลือกตั้งทั่วไปบรรลุผลสำเร็จหลังจากหลายทศวรรษของการเคลื่อนไหวอย่างต่อเนื่องและการปฏิรูปทางกฎหมาย,hak pilih,Hak pilih universal baru tercapai setelah beberapa dekade aktivisme yang gigih dan reformasi legislatif.
gerrymander,Opposition parties accused the ruling coalition of attempting to gerrymander electoral districts to secure a permanent majority.,게리맨더링하다,야당들은 여당 연합이 영구적 다수석을 확보하기 위해 선거구를 게리맨더링하려 한다고 비난했다.,ゲリマンダーを行う,野党は与党連合が恒久的な多数派を確保するために選挙区のゲリマンダーを試みていると非難した。,不公正划分选区,反对党指责执政联盟试图不公正地划分选区以确保永久多数席位。,manipular distritos electorales,Los partidos de oposición acusaron a la coalición gobernante de intentar manipular los distritos electorales para asegurar una mayoría permanente.,phân chia lại khu vực bầu cử,Các đảng đối lập cáo buộc liên minh cầm quyền cố gắng phân chia lại khu vực bầu cử để đảm bảo đa số vĩnh viễn.,แบ่งเขตเลือกตั้งอย่างไม่เป็นธรรม,พรรคฝ่ายค้านกล่าวหาว่ารัฐบาลผสมพยายามแบ่งเขตเลือกตั้งอย่างไม่เป็นธรรมเพื่อรักษาเสียงข้างมากถาวร,persekongkolan distrik,Partai oposisi menuduh koalisi pemerintah berusaha memanipulasi distrik pemilihan untuk mengamankan mayoritas permanen.
notwithstanding,Notwithstanding the severe budgetary constraints the research team managed to produce groundbreaking results.,그럼에도 불구하고,심각한 예산 제약에도 불구하고 연구팀은 획기적인 결과를 도출했다.,にもかかわらず,厳しい予算制約にもかかわらず研究チームは画期的な成果を上げることに成功した。,尽管,尽管预算严重受限研究团队仍设法取得了突破性成果。,no obstante,No obstante las severas restricciones presupuestarias el equipo de investigación logró producir resultados revolucionarios.,bất chấp,Bất chấp những hạn chế nghiêm trọng về ngân sách nhóm nghiên cứu vẫn đạt được kết quả đột phá.,แม้ว่า; ทั้ง ๆ ที่,แม้ว่าจะมีข้อจำกัดด้านงบประมาณอย่างรุนแรง ทีมวิจัยก็สามารถสร้างผลลัพธ์ที่ก้าวล้ำได้,meskipun demikian,Meskipun ada kendala anggaran yang parah tim peneliti berhasil menghasilkan temuan yang terobosan.
hitherto,The discovery challenged hitherto accepted theories about the formation of planetary systems.,지금까지,그 발견은 행성계 형성에 관해 지금까지 받아들여진 이론들에 의문을 제기했다.,これまで,その発見はこれまで受け入れられてきた惑星系の形成に関する理論に異議を唱えた。,迄今为止,这一发现挑战了迄今为止被接受的关于行星系形成的理论。,hasta ahora,El descubrimiento desafió las teorías hasta ahora aceptadas sobre la formación de sistemas planetarios.,cho đến nay,Phát hiện này thách thức các lý thuyết cho đến nay được chấp nhận về sự hình thành của các hệ hành tinh.,จนถึงบัดนี้,การค้นพบนี้ท้าทายทฤษฎีที่ได้รับการยอมรับจนถึงบัดนี้เกี่ยวกับการก่อตัวของระบบดาวเคราะห์,hingga kini,Penemuan tersebut menantang teori-teori yang hingga kini diterima tentang pembentukan sistem planet.
thereby,The government reduced import tariffs thereby stimulating foreign investment in the domestic market.,그럼으로써,정부는 수입 관세를 인하하여 그럼으로써 국내 시장에 대한 외국인 투자를 촉진했다.,それによって,政府は輸入関税を引き下げそれによって国内市場への外国投資を刺激した。,从而,政府降低了进口关税从而刺激了对国内市场的外国投资。,de ese modo,El gobierno redujo los aranceles de importación estimulando de ese modo la inversión extranjera en el mercado nacional.,từ đó,Chính phủ giảm thuế nhập khẩu từ đó kích thích đầu tư nước ngoài vào thị trường nội địa.,ดังนั้น; จึง,รัฐบาลลดภาษีนำเข้าจึงกระตุ้นการลงทุนจากต่างชาติในตลาดภายในประเทศ,dengan demikian,Pemerintah mengurangi tarif impor dengan demikian merangsang investasi asing di pasar domestik.
whereby,They established a framework whereby disputes could be resolved through binding arbitration.,그에 따라; 이를 통해,그들은 분쟁을 구속력 있는 중재를 통해 해결할 수 있는 체계를 수립했다.,それによって,彼らは拘束力のある仲裁を通じて紛争を解決できる枠組みを確立した。,借此,他们建立了一个框架借此可以通过有约束力的仲裁来解决争端。,por el cual,Establecieron un marco por el cual las disputas podrían resolverse mediante arbitraje vinculante.,theo đó,Họ thiết lập một khuôn khổ theo đó các tranh chấp có thể được giải quyết thông qua trọng tài ràng buộc.,ซึ่งโดยวิธีนั้น,พวกเขาสร้างกรอบงานซึ่งโดยวิธีนั้นข้อพิพาทสามารถแก้ไขได้ผ่านอนุญาโตตุลาการที่มีผลผูกพัน,yang mana,Mereka menetapkan kerangka kerja yang mana sengketa dapat diselesaikan melalui arbitrase yang mengikat.
henceforth,The board announced that henceforth all financial transactions would require dual authorisation.,이후로; 금후,이사회는 금후 모든 금융 거래에 이중 승인이 필요하다고 발표했다.,今後,取締役会は今後すべての金融取引に二重認証が必要になると発表した。,从今以后,董事会宣布从今以后所有金融交易将需要双重授权。,de aquí en adelante,La junta anunció que de aquí en adelante todas las transacciones financieras requerirían doble autorización.,kể từ nay,Ban giám đốc thông báo rằng kể từ nay tất cả các giao dịch tài chính sẽ yêu cầu ủy quyền kép.,นับจากนี้ไป,คณะกรรมการประกาศว่านับจากนี้ไปธุรกรรมทางการเงินทั้งหมดจะต้องได้รับการอนุมัติแบบคู่,mulai sekarang,Dewan mengumumkan bahwa mulai sekarang semua transaksi keuangan akan memerlukan otorisasi ganda.
insofar,The policy succeeded insofar as it reduced unemployment but it failed to address underlying structural inequalities.,~하는 한에 있어서,그 정책은 실업을 줄이는 한에 있어서는 성공했지만 근본적인 구조적 불평등을 해결하지는 못했다.,～する限りにおいて,その政策は失業率を下げた限りにおいては成功したが根本的な構造的不平等には対処できなかった。,就...而言,该政策就减少失业而言是成功的但未能解决根本的结构性不平等问题。,en la medida en que,La política tuvo éxito en la medida en que redujo el desempleo pero no logró abordar las desigualdades estructurales subyacentes.,trong chừng mực,Chính sách thành công trong chừng mực giảm được thất nghiệp nhưng không giải quyết được bất bình đẳng cấu trúc tiềm ẩn.,ตราบเท่าที่,นโยบายประสบความสำเร็จตราบเท่าที่ลดการว่างงานแต่ล้มเหลวในการแก้ไขความเหลื่อมล้ำเชิงโครงสร้างที่แฝงอยู่,sejauh,Kebijakan tersebut berhasil sejauh mengurangi pengangguran tetapi gagal mengatasi ketimpangan struktural yang mendasarinya.
inasmuch,The experiment was considered valid inasmuch as it followed all established protocols rigorously.,~인 만큼; ~이므로,그 실험은 모든 확립된 프로토콜을 엄격히 따랐으므로 유효한 것으로 간주되었다.,～であるからには,その実験はすべての確立されたプロトコルに厳密に従ったという点で有効であるとみなされた。,由于; 鉴于,该实验被认为是有效的因为它严格遵循了所有既定的规程。,en tanto que,El experimento se consideró válido en tanto que siguió rigurosamente todos los protocolos establecidos.,bởi vì; do,Thí nghiệm được coi là hợp lệ bởi vì nó tuân thủ nghiêm ngặt tất cả các quy trình đã được thiết lập.,เนื่องจาก; ในแง่ที่,การทดลองถูกพิจารณาว่าถูกต้องเนื่องจากปฏิบัติตามระเบียบวิธีที่กำหนดไว้ทั้งหมดอย่างเคร่งครัด,mengingat bahwa,Eksperimen tersebut dianggap valid mengingat bahwa mengikuti semua protokol yang ditetapkan secara ketat.
heretofore,The heretofore unknown manuscript was discovered in a dusty archive by a graduate student.,이전에; 여태까지,여태까지 알려지지 않았던 원고가 대학원생에 의해 먼지 쌓인 문서고에서 발견되었다.,これまで,これまで知られていなかった原稿が大学院生によってほこりまみれのアーカイブで発見された。,此前,一位研究生在满是灰尘的档案馆中发现了此前不为人知的手稿。,hasta entonces,El manuscrito hasta entonces desconocido fue descubierto en un archivo polvoriento por un estudiante de posgrado.,trước đây,Bản thảo trước đây chưa từng được biết đến đã được một nghiên cứu sinh phát hiện trong một kho lưu trữ đầy bụi.,ก่อนหน้านี้,ต้นฉบับที่ไม่เคยเป็นที่รู้จักก่อนหน้านี้ถูกค้นพบในห้องเก็บเอกสารเก่าโดยนักศึกษาบัณฑิต,sebelumnya,Manuskrip yang sebelumnya tidak diketahui ditemukan di arsip berdebu oleh seorang mahasiswa pascasarjana.
thereof,The contract specifies the terms of the agreement and any amendments thereof must be documented in writing.,그것의,계약서는 합의 조건을 명시하며 그것의 모든 수정 사항은 서면으로 기록되어야 한다.,その,契約は合意の条件を明記しておりその修正はすべて書面で文書化されなければならない。,其中的,合同规定了协议条款其任何修改都必须以书面形式记录。,de ello,El contrato especifica los términos del acuerdo y cualquier enmienda de ello debe documentarse por escrito.,về điều đó,Hợp đồng quy định các điều khoản của thỏa thuận và mọi sửa đổi về điều đó phải được ghi nhận bằng văn bản.,ของสิ่งนั้น,สัญญาระบุเงื่อนไขของข้อตกลงและการแก้ไขใด ๆ ของสิ่งนั้นจะต้องบันทึกเป็นลายลักษณ์อักษร,daripadanya,Kontrak menentukan ketentuan perjanjian dan setiap amendemen daripadanya harus didokumentasikan secara tertulis.
whereupon,The jury delivered the guilty verdict whereupon the defendant was immediately taken into custody.,그러자; 그 직후,배심원단이 유죄 평결을 내리자 피고인은 즉시 구금되었다.,その結果,陪審員が有罪の評決を下しその結果被告は直ちに拘留された。,于是,陪审团作出有罪判决于是被告立即被拘押。,tras lo cual,El jurado emitió el veredicto de culpabilidad tras lo cual el acusado fue inmediatamente puesto bajo custodia.,sau đó,Bồi thẩm đoàn đưa ra phán quyết có tội sau đó bị cáo ngay lập tức bị giam giữ.,หลังจากนั้น,คณะลูกขุนตัดสินว่ามีความผิด หลังจากนั้นจำเลยถูกนำตัวไปควบคุมทันที,setelah itu,Juri menyampaikan vonis bersalah setelah itu terdakwa segera ditahan.
forthwith,The court ordered the company to cease all operations forthwith pending a full environmental review.,즉시; 곧바로,법원은 전면적인 환경 검토가 끝날 때까지 회사에 즉시 모든 운영을 중단하라고 명령했다.,直ちに,裁判所は全面的な環境レビューが完了するまで直ちにすべての事業を中止するよう命じた。,立即,法院命令该公司立即停止所有运营等待全面的环境审查。,inmediatamente,El tribunal ordenó a la empresa cesar todas las operaciones inmediatamente en espera de una revisión ambiental completa.,ngay lập tức,Tòa án ra lệnh cho công ty ngay lập tức ngừng tất cả hoạt động trong khi chờ đánh giá toàn diện về môi trường.,โดยทันที,ศาลสั่งให้บริษัทหยุดดำเนินกิจการทั้งหมดโดยทันทีเพื่อรอการตรวจสอบด้านสิ่งแวดล้อมอย่างเต็มรูปแบบ,segera,Pengadilan memerintahkan perusahaan untuk segera menghentikan semua operasi sambil menunggu tinjauan lingkungan yang menyeluruh.
conversely,Urban areas saw a sharp decline in crime; conversely rural communities experienced an unexpected surge.,반대로,도시 지역에서는 범죄가 급감한 반면 반대로 농촌 지역에서는 예상치 못한 급증이 나타났다.,逆に,都市部では犯罪が急減した。逆に農村部では予想外の急増を経験した。,相反地,城市地区犯罪率急剧下降；相反农村社区却出现了意外的激增。,por el contrario,Las áreas urbanas experimentaron una fuerte disminución del crimen; por el contrario las comunidades rurales experimentaron un aumento inesperado.,ngược lại,Khu vực thành thị chứng kiến sự giảm mạnh tội phạm; ngược lại các cộng đồng nông thôn lại trải qua sự gia tăng bất ngờ.,ในทางกลับกัน,พื้นที่ในเมืองเห็นอาชญากรรมลดลงอย่างรวดเร็ว ในทางกลับกันชุมชนชนบทกลับประสบกับการเพิ่มขึ้นอย่างไม่คาดคิด,sebaliknya,Daerah perkotaan mengalami penurunan tajam dalam kejahatan; sebaliknya komunitas pedesaan mengalami lonjakan yang tidak terduga.
accordingly,The committee identified several critical flaws in the proposal and accordingly recommended its rejection.,따라서; 그에 맞게,위원회는 제안서에서 여러 치명적 결함을 발견하고 따라서 그 거부를 권고했다.,したがって,委員会は提案にいくつかの重大な欠陥を発見しそれに応じてその否決を勧告した。,因此,委员会发现了提案中的几个关键缺陷因此建议予以否决。,en consecuencia,El comité identificó varios defectos críticos en la propuesta y en consecuencia recomendó su rechazo.,do đó,Ủy ban xác định một số lỗi nghiêm trọng trong đề xuất và do đó đề nghị bác bỏ nó.,ดังนั้น,คณะกรรมการระบุข้อบกพร่องที่สำคัญหลายประการในข้อเสนอและดังนั้นจึงแนะนำให้ปฏิเสธ,oleh karena itu,Komite mengidentifikasi beberapa kelemahan kritis dalam proposal dan oleh karena itu merekomendasikan penolakannya.
pertaining,All documents pertaining to the merger were submitted to the regulatory authority for review.,~에 관한,합병에 관한 모든 서류가 검토를 위해 규제 당국에 제출되었다.,～に関する,合併に関するすべての書類が審査のために規制当局に提出された。,有关的,所有与合并有关的文件均已提交给监管机构审查。,relativo a,Todos los documentos relativos a la fusión fueron presentados a la autoridad reguladora para su revisión.,liên quan đến,Tất cả các tài liệu liên quan đến việc sáp nhập đã được nộp cho cơ quan quản lý để xem xét.,เกี่ยวกับ,เอกสารทั้งหมดที่เกี่ยวกับการควบรวมกิจการถูกส่งไปยังหน่วยงานกำกับดูแลเพื่อตรวจสอบ,berkenaan dengan,Semua dokumen yang berkenaan dengan merger diserahkan kepada otoritas regulasi untuk ditinjau.
pursuant,Pursuant to the new regulations all hazardous materials must be stored in sealed containers.,~에 따라,새로운 규정에 따라 모든 위험 물질은 밀봉된 용기에 보관해야 한다.,～に従って,新しい規則に従いすべての危険物は密閉容器に保管しなければならない。,根据,根据新规定所有危险材料必须储存在密封容器中。,de conformidad con,De conformidad con las nuevas regulaciones todos los materiales peligrosos deben almacenarse en contenedores sellados.,theo,Theo các quy định mới tất cả vật liệu nguy hiểm phải được lưu trữ trong các thùng chứa kín.,ตาม,ตามระเบียบใหม่ วัสดุอันตรายทั้งหมดต้องเก็บในภาชนะปิดสนิท,sesuai dengan,Sesuai dengan peraturan baru semua bahan berbahaya harus disimpan dalam wadah tertutup rapat.
albeit,The project was completed on time albeit at a considerably higher cost than originally budgeted.,비록 ~이지만,프로젝트는 비록 원래 예산보다 상당히 높은 비용이 들었지만 제시간에 완료되었다.,とはいえ,プロジェクトは予定通りに完了したとはいえ当初の予算よりかなり高いコストがかかった。,尽管,项目按时完成了尽管成本远高于最初的预算。,aunque,El proyecto se completó a tiempo aunque a un costo considerablemente mayor que el presupuestado originalmente.,mặc dù,Dự án được hoàn thành đúng hạn mặc dù với chi phí cao hơn đáng kể so với ngân sách ban đầu.,แม้ว่า,โครงการเสร็จสิ้นตรงเวลาแม้ว่าจะมีต้นทุนสูงกว่าที่ตั้งงบประมาณไว้มาก,meskipun,Proyek selesai tepat waktu meskipun dengan biaya yang jauh lebih tinggi daripada yang dianggarkan semula.
lest,She triple-checked her calculations lest a single arithmetic error invalidate the entire study.,~하지 않도록,그녀는 하나의 산술 오류가 전체 연구를 무효화하지 않도록 계산을 세 번 확인했다.,～しないように,彼女は一つの計算ミスが研究全体を無効にしないよう計算を三度確認した。,以免,她反复检查了三遍计算以免一个算术错误使整个研究无效。,no sea que,Revisó sus cálculos tres veces no sea que un solo error aritmético invalidara todo el estudio.,kẻo,Cô ấy kiểm tra lại phép tính ba lần kẻo một sai sót số học duy nhất làm mất hiệu lực toàn bộ nghiên cứu.,เกรงว่า,เธอตรวจสอบการคำนวณสามรอบเกรงว่าข้อผิดพลาดทางคณิตศาสตร์เพียงจุดเดียวจะทำให้การศึกษาทั้งหมดเป็นโมฆะ,agar tidak,Dia memeriksa ulang perhitungannya tiga kali agar tidak ada satu kesalahan aritmetika pun yang membatalkan seluruh penelitian.
anomaly,The sudden temperature anomaly in the data prompted researchers to recalibrate their instruments.,이상; 변칙,데이터의 갑작스러운 온도 이상이 연구자들로 하여금 장비를 재보정하도록 촉구했다.,異常,データ中の突然の温度異常により研究者たちは機器の再校正を余儀なくされた。,异常,数据中突然出现的温度异常促使研究人员重新校准仪器。,anomalía,La anomalía repentina de temperatura en los datos llevó a los investigadores a recalibrar sus instrumentos.,dị thường,Sự dị thường nhiệt độ đột ngột trong dữ liệu khiến các nhà nghiên cứu phải hiệu chuẩn lại thiết bị.,ความผิดปกติ,ความผิดปกติของอุณหภูมิอย่างกะทันหันในข้อมูลกระตุ้นให้นักวิจัยปรับเทียบเครื่องมือใหม่,anomali,Anomali suhu yang tiba-tiba dalam data mendorong para peneliti untuk mengkalibrasi ulang instrumen mereka.
postulate,Euclid's parallel postulate sparked centuries of debate and ultimately led to the development of non-Euclidean geometries.,공준,유클리드의 평행 공준은 수세기에 걸친 논쟁을 촉발하고 궁극적으로 비유클리드 기하학의 발전으로 이어졌다.,公準,ユークリッドの平行線公準は何世紀にもわたる議論を引き起こし最終的に非ユークリッド幾何学の発展につながった。,公设,欧几里得的平行公设引发了几个世纪的辩论并最终导致了非欧几何学的发展。,postulado,El postulado de las paralelas de Euclides provocó siglos de debate y finalmente condujo al desarrollo de las geometrías no euclidianas.,định đề,Định đề song song của Euclid đã gây ra nhiều thế kỷ tranh luận và cuối cùng dẫn đến sự phát triển của hình học phi Euclid.,สมมุติฐาน,สมมุติฐานเส้นขนานของยูคลิดจุดชนวนการถกเถียงเป็นเวลาหลายศตวรรษและนำไปสู่การพัฒนาเรขาคณิตนอกยูคลิดในที่สุด,postulat,Postulat kesejajaran Euklides memicu perdebatan selama berabad-abad dan akhirnya mengarah pada pengembangan geometri non-Euklides.
corollary,A natural corollary of increased automation is the displacement of workers in routine manual occupations.,필연적 결과; 추론,자동화 증가의 필연적 결과는 일상적 육체 노동 직종 근로자의 대체이다.,当然の帰結,自動化の進展の当然の帰結は日常的な手作業職の労働者の置き換えである。,必然结果,自动化增加的一个自然结果是从事常规体力劳动的工人被取代。,corolario,Un corolario natural del aumento de la automatización es el desplazamiento de trabajadores en ocupaciones manuales rutinarias.,hệ quả tất yếu,Hệ quả tất yếu của việc tự động hóa gia tăng là sự thay thế công nhân trong các nghề lao động chân tay thường ngày.,ผลสืบเนื่อง,ผลสืบเนื่องตามธรรมชาติของระบบอัตโนมัติที่เพิ่มขึ้นคือการแทนที่แรงงานในอาชีพที่ใช้แรงงานประจำ,konsekuensi logis,Konsekuensi logis dari peningkatan otomatisasi adalah perpindahan pekerja di pekerjaan manual rutin.
topology,Topology studies the properties of geometric objects that remain unchanged under continuous deformations.,위상수학,위상수학은 연속적 변형 하에서 변하지 않는 기하학적 객체의 속성을 연구한다.,位相幾何学,位相幾何学は連続的な変形の下で変わらない幾何学的対象の性質を研究する。,拓扑学,拓扑学研究在连续变形下保持不变的几何对象的性质。,topología,La topología estudia las propiedades de los objetos geométricos que permanecen invariantes bajo deformaciones continuas.,tô pô học,Tô pô học nghiên cứu các tính chất của các đối tượng hình học không thay đổi dưới các biến dạng liên tục.,ทอพอโลยี,ทอพอโลยีศึกษาคุณสมบัติของวัตถุทางเรขาคณิตที่ไม่เปลี่ยนแปลงภายใต้การเปลี่ยนรูปอย่างต่อเนื่อง,topologi,Topologi mempelajari sifat-sifat objek geometris yang tetap tidak berubah di bawah deformasi kontinu.
convergence,The convergence of the iterative algorithm was guaranteed under certain smoothness conditions.,수렴,반복 알고리즘의 수렴은 특정 매끄러움 조건 하에서 보장되었다.,収束,反復アルゴリズムの収束は特定の滑らかさの条件の下で保証されていた。,收敛,迭代算法的收敛性在某些光滑条件下得到保证。,convergencia,La convergencia del algoritmo iterativo estaba garantizada bajo ciertas condiciones de suavidad.,sự hội tụ,Sự hội tụ của thuật toán lặp được đảm bảo dưới các điều kiện trơn nhất định.,การลู่เข้า,การลู่เข้าของอัลกอริทึมเชิงวนซ้ำได้รับการรับประกันภายใต้เงื่อนไขความเรียบบางประการ,konvergensi,Konvergensi algoritma iteratif dijamin di bawah kondisi kehalusan tertentu.
divergence,The divergence between theoretical predictions and experimental results demanded a re-examination of the model's assumptions.,발산; 분기,이론적 예측과 실험 결과 사이의 괴리는 모형 가정의 재검토를 요구했다.,発散; 乖離,理論的予測と実験結果の乖離はモデルの仮定の再検討を必要とした。,发散; 分歧,理论预测与实验结果之间的分歧要求重新审视模型的假设。,divergencia,La divergencia entre las predicciones teóricas y los resultados experimentales exigió una reexaminación de los supuestos del modelo.,sự phân kỳ,Sự phân kỳ giữa dự đoán lý thuyết và kết quả thực nghiệm đòi hỏi phải xem xét lại các giả định của mô hình.,การลู่ออก,ความแตกต่างระหว่างการคาดการณ์ทางทฤษฎีและผลการทดลองต้องการการตรวจสอบสมมติฐานของแบบจำลองใหม่,divergensi,Divergensi antara prediksi teoretis dan hasil eksperimen menuntut pemeriksaan ulang asumsi model.
photon,A photon is a quantum of electromagnetic radiation that exhibits both wave-like and particle-like properties.,광자,광자는 파동적 성질과 입자적 성질을 모두 나타내는 전자기 복사의 양자이다.,光子,光子は波のような性質と粒子のような性質の両方を示す電磁放射の量子である。,光子,光子是电磁辐射的量子表现出波粒二象性。,fotón,Un fotón es un cuanto de radiación electromagnética que exhibe propiedades tanto ondulatorias como corpusculares.,photon,Photon là một lượng tử của bức xạ điện từ thể hiện cả tính chất sóng và tính chất hạt.,โฟตอน,โฟตอนเป็นควอนตัมของรังสีแม่เหล็กไฟฟ้าที่แสดงคุณสมบัติทั้งแบบคลื่นและแบบอนุภาค,foton,Foton adalah kuantum radiasi elektromagnetik yang menunjukkan sifat gelombang dan partikel.
protostar,A protostar forms when a dense region within a molecular cloud begins to collapse under its own gravity.,원시별,원시별은 분자 구름 내의 밀집 영역이 자체 중력에 의해 붕괴하기 시작할 때 형성된다.,原始星,原始星は分子雲内の高密度領域が自らの重力で崩壊し始める時に形成される。,原恒星,当分子云中的密集区域开始在自身引力下坍缩时原恒星就会形成。,protoestrella,Una protoestrella se forma cuando una región densa dentro de una nube molecular comienza a colapsar bajo su propia gravedad.,tiền sao,Một tiền sao hình thành khi một vùng đậm đặc trong đám mây phân tử bắt đầu sụp đổ dưới lực hấp dẫn của chính nó.,ดาวก่อเกิด,ดาวก่อเกิดก่อตัวเมื่อบริเวณที่หนาแน่นภายในเมฆโมเลกุลเริ่มยุบตัวภายใต้แรงโน้มถ่วงของตัวเอง,protobintang,Sebuah protobintang terbentuk ketika wilayah padat dalam awan molekuler mulai runtuh di bawah gravitasinya sendiri.
magnetosphere,The Earth's magnetosphere deflects most of the charged particles streaming from the Sun.,자기권,지구의 자기권은 태양에서 흘러오는 대부분의 하전 입자를 편향시킨다.,磁気圏,地球の磁気圏は太陽から流れてくるほとんどの荷電粒子を偏向させる。,磁层,地球的磁层偏转了来自太阳的大部分带电粒子。,magnetosfera,La magnetosfera de la Tierra desvía la mayoría de las partículas cargadas que provienen del Sol.,từ quyển,Từ quyển của Trái Đất làm chệch hướng phần lớn các hạt mang điện phát ra từ Mặt Trời.,แมกนีโตสเฟียร์,แมกนีโตสเฟียร์ของโลกเบี่ยงเบนอนุภาคที่มีประจุส่วนใหญ่ที่พุ่งมาจากดวงอาทิตย์,magnetosfer,Magnetosfer Bumi membelokkan sebagian besar partikel bermuatan yang mengalir dari Matahari.
accretion,The accretion disk surrounding the black hole emits intense X-ray radiation as matter spirals inward.,강착; 부착,블랙홀을 둘러싼 강착 원반은 물질이 안쪽으로 나선형으로 빨려들면서 강렬한 엑스선 복사를 방출한다.,降着,ブラックホールを取り囲む降着円盤は物質が内側に渦を巻きながら強烈なX線放射を放出する。,吸积,围绕黑洞的吸积盘在物质向内旋转时发出强烈的X射线辐射。,acreción,El disco de acreción que rodea al agujero negro emite intensa radiación de rayos X mientras la materia gira en espiral hacia adentro.,bồi tụ,Đĩa bồi tụ bao quanh hố đen phát ra bức xạ tia X cường độ cao khi vật chất xoáy vào bên trong.,การพอกพูน,จานสะสมมวลที่ล้อมรอบหลุมดำปล่อยรังสีเอกซ์เข้มข้นในขณะที่สสารวนเข้าด้านใน,akresi,Piringan akresi yang mengelilingi lubang hitam memancarkan radiasi sinar-X yang intens saat materi berputar ke dalam.
