brinkmanship,"The leader's brinkmanship brought the two nations dangerously close to armed conflict.",벼랑 끝 전술,"지도자의 벼랑 끝 전술은 두 나라를 무력 충돌의 위험한 경계로 몰고 갔다.",瀬戸際政策,"指導者の瀬戸際政策は両国を武力衝突の危険な境界に追い込んだ。",边缘政策,"领导人的边缘政策使两国危险地接近武装冲突。",política de riesgo calculado,"La política de riesgo calculado del líder llevó a las dos naciones peligrosamente cerca de un conflicto armado.",chính sách bên miệng hố chiến tranh,"Chính sách bên miệng hố chiến tranh của nhà lãnh đạo đã đưa hai quốc gia đến gần xung đột vũ trang một cách nguy hiểm.",นโยบายเสี่ยงขั้นสุด,"นโยบายเสี่ยงขั้นสุดของผู้นำทำให้ทั้งสองประเทศเข้าใกล้ความขัดแย้งทางอาวุธอย่างอันตราย",politik brinksmanship,"Politik brinksmanship pemimpin tersebut membawa kedua negara sangat dekat ke konflik bersenjata."
goldplating,"Regulatory goldplating occurs when member states implement directives more strictly than required.",규제 과잉,"규제 과잉은 회원국이 요구보다 더 엄격하게 지침을 시행할 때 발생한다.",ゴールドプレーティング,"ゴールドプレーティングは加盟国が要求以上に厳格に指令を実施するときに起こる。",镀金条款,"镀金条款发生在成员国比要求更严格地执行指令时。",sobrerregulación,"La sobrerregulación ocurre cuando los estados miembros implementan directivas más estrictamente de lo requerido.",mạ vàng quy định,"Mạ vàng quy định xảy ra khi các quốc gia thành viên thực thi chỉ thị nghiêm ngặt hơn yêu cầu.",การเพิ่มกฎเกินความจำเป็น,"การเพิ่มกฎเกินความจำเป็นเกิดขึ้นเมื่อรัฐสมาชิกบังคับใช้คำสั่งอย่างเข้มงวดกว่าที่กำหนด",goldplating,"Goldplating regulasi terjadi ketika negara anggota menerapkan arahan lebih ketat dari yang disyaratkan."
Dunning-Kruger effect,"The Dunning-Kruger effect explains why incompetent individuals overestimate their own abilities.",더닝-크루거 효과,"더닝-크루거 효과는 능력이 부족한 사람들이 자신의 능력을 과대평가하는 이유를 설명한다.",ダニング・クルーガー効果,"ダニング・クルーガー効果は能力の低い個人がなぜ自分の能力を過大評価するかを説明する。",达克效应,"达克效应解释了为什么无能的人会高估自己的能力。",efecto Dunning-Kruger,"El efecto Dunning-Kruger explica por qué los individuos incompetentes sobreestiman sus propias habilidades.",hiệu ứng Dunning-Kruger,"Hiệu ứng Dunning-Kruger giải thích tại sao những người kém năng lực lại đánh giá quá cao khả năng của mình.",ปรากฏการณ์ดันนิง-ครูเกอร์,"ปรากฏการณ์ดันนิง-ครูเกอร์อธิบายว่าทำไมบุคคลที่ไร้ความสามารถจึงประเมินความสามารถของตัวเองสูงเกินจริง",efek Dunning-Kruger,"Efek Dunning-Kruger menjelaskan mengapa individu yang tidak kompeten melebih-lebihkan kemampuan mereka sendiri."
zero-sum game,"Realists view international relations as a zero-sum game where one nation's gain is another's loss.",제로섬 게임,"현실주의자들은 국제관계를 한 국가의 이익이 다른 국가의 손실인 제로섬 게임으로 본다.",ゼロサムゲーム,"現実主義者は国際関係を一国の利益が他国の損失であるゼロサムゲームとして捉える。",零和博弈,"现实主义者将国际关系视为零和博弈即一国之得即另一国之失。",juego de suma cero,"Los realistas ven las relaciones internacionales como un juego de suma cero donde la ganancia de una nación es la pérdida de otra.",trò chơi có tổng bằng không,"Những người theo chủ nghĩa hiện thực xem quan hệ quốc tế là trò chơi có tổng bằng không trong đó lợi ích của một quốc gia là tổn thất của quốc gia khác.",เกมผลรวมเป็นศูนย์,"นักสัจนิยมมองความสัมพันธ์ระหว่างประเทศเป็นเกมผลรวมเป็นศูนย์ที่ผลได้ของชาติหนึ่งคือผลเสียของอีกชาติ",permainan zero-sum,"Kaum realis memandang hubungan internasional sebagai permainan zero-sum di mana keuntungan satu negara adalah kerugian negara lain."
double-blind study,"A double-blind study ensures neither participants nor researchers know who receives the treatment or placebo.",이중맹검 연구,"이중맹검 연구는 참가자도 연구자도 누가 치료제 또는 위약을 받는지 모르도록 보장한다.",二重盲検試験,"二重盲検試験は参加者も研究者も誰が治療を受け誰がプラセボを受けるか知らないことを保証する。",双盲研究,"双盲研究确保参与者和研究人员都不知道谁接受了治疗或安慰剂。",estudio doble ciego,"Un estudio doble ciego asegura que ni los participantes ni los investigadores saben quién recibe el tratamiento o el placebo.",nghiên cứu mù đôi,"Nghiên cứu mù đôi đảm bảo cả người tham gia lẫn nhà nghiên cứu đều không biết ai nhận điều trị hay giả dược.",การศึกษาแบบปกปิดสองทาง,"การศึกษาแบบปกปิดสองทางรับรองว่าทั้งผู้เข้าร่วมและนักวิจัยไม่ทราบว่าใครได้รับการรักษาหรือยาหลอก",studi double-blind,"Studi double-blind memastikan baik peserta maupun peneliti tidak mengetahui siapa yang menerima pengobatan atau plasebo."
equity dilution,"Equity dilution reduces existing shareholders' ownership percentage when new shares are issued.",지분 희석,"지분 희석은 신주가 발행될 때 기존 주주의 소유 비율을 감소시킨다.",株式希薄化,"株式希薄化は新株が発行されると既存株主の持株比率を低下させる。",股权稀释,"当发行新股时股权稀释会降低现有股东的持股比例。",dilución de capital,"La dilución de capital reduce el porcentaje de propiedad de los accionistas existentes cuando se emiten nuevas acciones.",pha loãng cổ phần,"Pha loãng cổ phần làm giảm tỷ lệ sở hữu của các cổ đông hiện tại khi cổ phiếu mới được phát hành.",การเจือจางส่วนทุน,"การเจือจางส่วนทุนลดสัดส่วนการถือหุ้นของผู้ถือหุ้นเดิมเมื่อมีการออกหุ้นใหม่",dilusi ekuitas,"Dilusi ekuitas mengurangi persentase kepemilikan pemegang saham yang ada ketika saham baru diterbitkan."
biosecurity,"Biosecurity protocols prevent the accidental or deliberate release of dangerous biological agents.",생물안보,"생물안보 프로토콜은 위험한 생물학적 작용제의 우발적 또는 의도적 방출을 방지한다.",バイオセキュリティ,"バイオセキュリティプロトコルは危険な生物学的因子の偶発的または意図的な放出を防ぐ。",生物安全,"生物安全协议防止危险生物制剂的意外或故意释放。",bioseguridad,"Los protocolos de bioseguridad previenen la liberación accidental o deliberada de agentes biológicos peligrosos.",an ninh sinh học,"Các quy trình an ninh sinh học ngăn chặn việc phóng thích vô tình hoặc cố ý các tác nhân sinh học nguy hiểm.",ความมั่นคงทางชีวภาพ,"ระเบียบปฏิบัติด้านความมั่นคงทางชีวภาพป้องกันการปล่อยสารชีวภาพอันตรายโดยไม่ตั้งใจหรือโดยเจตนา",keamanan hayati,"Protokol keamanan hayati mencegah pelepasan agen biologis berbahaya secara tidak sengaja atau disengaja."
groupthink,"Groupthink suppresses dissenting opinions and leads teams toward irrational consensus decisions.",집단사고,"집단사고는 반대 의견을 억압하고 팀을 비합리적인 합의 결정으로 이끈다.",集団思考,"集団思考は反対意見を抑圧しチームを非合理的な合意の決定に導く。",群体思维,"群体思维压制不同意见并导致团队做出非理性的共识决策。",pensamiento grupal,"El pensamiento grupal suprime las opiniones disidentes y lleva a los equipos hacia decisiones de consenso irracionales.",tư duy nhóm,"Tư duy nhóm triệt tiêu các ý kiến bất đồng và dẫn dắt nhóm đến các quyết định đồng thuận phi lý.",การคิดแบบกลุ่ม,"การคิดแบบกลุ่มกดขี่ความเห็นที่แตกต่างและนำทีมไปสู่การตัดสินใจที่เป็นฉันทามติอย่างไร้เหตุผล",groupthink,"Groupthink menekan pendapat yang berbeda dan mengarahkan tim menuju keputusan konsensus yang tidak rasional."
seroprevalence,"Seroprevalence studies revealed that the actual infection rate was far higher than reported cases.",혈청 유병률,"혈청 유병률 조사는 실제 감염률이 보고된 사례보다 훨씬 높았음을 밝혔다.",血清有病率,血清有病率調査は実際の感染率が報告症例よりはるかに高いことを明らかにした。,血清阳性率,血清阳性率研究表明实际感染率远高于报告病例。,seroprevalencia,Los estudios de seroprevalencia revelaron que la tasa real de infección era mucho mayor que los casos reportados.,tỷ lệ huyết thanh dương tính,Các nghiên cứu tỷ lệ huyết thanh dương tính cho thấy tỷ lệ nhiễm thực tế cao hơn nhiều so với các ca được báo cáo.,ความชุกทางซีรั่ม,การศึกษาความชุกทางซีรั่มเผยให้เห็นว่าอัตราการติดเชื้อจริงสูงกว่าผู้ป่วยที่รายงานมาก,seroprevalensi,Studi seroprevalensi mengungkapkan bahwa tingkat infeksi sebenarnya jauh lebih tinggi daripada kasus yang dilaporkan.
zoonotic,"Zoonotic spillover events are increasingly common as humans encroach on wildlife habitats.",인수공통감염의,"인간이 야생동물 서식지를 침범함에 따라 인수공통감염 전파 사건이 점점 더 빈번해지고 있다.",人獣共通の,人間が野生生物の生息地を侵食するにつれ人獣共通感染症の波及事象がますます一般的になっている。,人畜共患的,随着人类侵占野生动物栖息地人畜共患病外溢事件日益增多。,zoonótico,Los eventos de desbordamiento zoonótico son cada vez más comunes a medida que los humanos invaden los hábitats de vida silvestre.,lây từ động vật,Các sự kiện lây lan từ động vật sang người ngày càng phổ biến khi con người xâm lấn môi trường sống hoang dã.,โรคจากสัตว์สู่คน,การแพร่เชื้อจากสัตว์สู่คนพบบ่อยขึ้นเมื่อมนุษย์รุกล้ำถิ่นที่อยู่ของสัตว์ป่า,zoonotik,Peristiwa limpahan zoonotik semakin umum seiring manusia merambah habitat satwa liar.
nosocomial,"Nosocomial infections remain a critical challenge for hospital infection control programs.",병원감염의,"병원감염은 의료기관 감염 관리 프로그램에 여전히 중대한 도전이다.",院内感染の,院内感染は病院の感染管理プログラムにとって依然として重大な課題である。,医院感染的,医院感染仍然是医院感染控制计划的重大挑战。,nosocomial,Las infecciones nosocomiales siguen siendo un desafío crítico para los programas de control de infecciones hospitalarias.,nhiễm trùng bệnh viện,Nhiễm trùng bệnh viện vẫn là thách thức nghiêm trọng đối với các chương trình kiểm soát nhiễm khuẩn.,การติดเชื้อในโรงพยาบาล,การติดเชื้อในโรงพยาบาลยังคงเป็นความท้าทายสำคัญสำหรับโปรแกรมควบคุมการติดเชื้อ,nosokomial,Infeksi nosokomial tetap menjadi tantangan kritis bagi program pengendalian infeksi rumah sakit.
vector-borne,"Vector-borne diseases are expanding their geographic range due to climate change.",매개체 전파의,"기후 변화로 인해 매개체 전파 질병의 지리적 범위가 확대되고 있다.",媒介性の,気候変動により媒介性疾患の地理的範囲が拡大している。,媒介传播的,由于气候变化媒介传播疾病正在扩大其地理范围。,transmitido por vectores,Las enfermedades transmitidas por vectores están expandiendo su alcance geográfico debido al cambio climático.,lây truyền qua véc tơ,Các bệnh lây truyền qua véc tơ đang mở rộng phạm vi địa lý do biến đổi khí hậu.,โรคที่นำโดยพาหะ,โรคที่นำโดยพาหะกำลังขยายขอบเขตทางภูมิศาสตร์เนื่องจากการเปลี่ยนแปลงสภาพภูมิอากาศ,ditularkan vektor,Penyakit yang ditularkan vektor memperluas jangkauan geografisnya akibat perubahan iklim.
sentinel surveillance,"Sentinel surveillance systems provide early warning signals for emerging infectious disease threats.",감시 감시체계,"감시 감시체계는 신종 감염병 위협에 대한 조기 경보 신호를 제공한다.",センチネルサーベイランス,センチネルサーベイランスシステムは新興感染症の脅威に対する早期警告信号を提供する。,哨点监测,哨点监测系统为新发传染病威胁提供早期预警信号。,vigilancia centinela,Los sistemas de vigilancia centinela proporcionan señales de alerta temprana para amenazas de enfermedades infecciosas emergentes.,giám sát trọng điểm,Các hệ thống giám sát trọng điểm cung cấp tín hiệu cảnh báo sớm cho các mối đe dọa bệnh truyền nhiễm mới nổi.,การเฝ้าระวังแบบจุดเฝ้าระวัง,ระบบเฝ้าระวังแบบจุดเฝ้าระวังให้สัญญาณเตือนภัยล่วงหน้าสำหรับโรคติดเชื้ออุบัติใหม่,surveilans sentinel,Sistem surveilans sentinel memberikan sinyal peringatan dini untuk ancaman penyakit menular yang muncul.
case-fatality rate,"The case-fatality rate of Ebola virus disease can exceed fifty percent in some outbreaks.",치명률,"에볼라 바이러스 질환의 치명률은 일부 발병에서 50퍼센트를 초과할 수 있다.",致死率,エボラウイルス病の致死率は一部の流行で50パーセントを超えることがある。,病死率,埃博拉病毒病的病死率在某些疫情中可超过百分之五十。,tasa de letalidad,La tasa de letalidad de la enfermedad por el virus del Ébola puede superar el cincuenta por ciento en algunos brotes.,tỷ lệ tử vong ca bệnh,Tỷ lệ tử vong ca bệnh của bệnh virus Ebola có thể vượt quá năm mươi phần trăm trong một số đợt bùng phát.,อัตราป่วยตาย,อัตราป่วยตายของโรคไวรัสอีโบลาอาจเกินร้อยละห้าสิบในการระบาดบางครั้ง,angka fatalitas kasus,Angka fatalitas kasus penyakit virus Ebola dapat melebihi lima puluh persen dalam beberapa wabah.
epidemiological triad,"The epidemiological triad model examines the interaction among host and agent and environment.",역학적 삼각모형,"역학적 삼각모형은 숙주와 병원체와 환경 간의 상호작용을 검토한다.",疫学的三角形,疫学的三角形モデルは宿主と病原体と環境の相互作用を検討する。,流行病学三角,流行病学三角模型研究宿主与病原体与环境之间的相互作用。,tríada epidemiológica,El modelo de la tríada epidemiológica examina la interacción entre huésped y agente y ambiente.,tam giác dịch tễ,Mô hình tam giác dịch tễ nghiên cứu sự tương tác giữa vật chủ và tác nhân và môi trường.,สามเหลี่ยมระบาดวิทยา,แบบจำลองสามเหลี่ยมระบาดวิทยาตรวจสอบปฏิสัมพันธ์ระหว่างโฮสต์กับเชื้อโรคกับสิ่งแวดล้อม,triad epidemiologi,Model triad epidemiologi mengkaji interaksi antara pejamu dan agen dan lingkungan.
herd immunity,"Herd immunity thresholds vary considerably depending on the basic reproduction number of the pathogen.",집단면역,"집단면역 임계값은 병원체의 기본 재생산수에 따라 상당히 다르다.",集団免疫,集団免疫の閾値は病原体の基本再生産数によってかなり異なる。,群体免疫,群体免疫阈值因病原体的基本再生数不同而有很大差异。,inmunidad colectiva,Los umbrales de inmunidad colectiva varían considerablemente según el número básico de reproducción del patógeno.,miễn dịch cộng đồng,Ngưỡng miễn dịch cộng đồng thay đổi đáng kể tùy thuộc vào hệ số lây nhiễm cơ bản của mầm bệnh.,ภูมิคุ้มกันหมู่,เกณฑ์ภูมิคุ้มกันหมู่แตกต่างกันมากขึ้นอยู่กับจำนวนการแพร่พันธุ์พื้นฐานของเชื้อโรค,kekebalan kelompok,Ambang kekebalan kelompok sangat bervariasi tergantung pada angka reproduksi dasar patogen.
incubation period,"The prolonged incubation period of the virus complicated contact tracing efforts significantly.",잠복기,"바이러스의 긴 잠복기는 접촉자 추적 노력을 상당히 복잡하게 만들었다.",潜伏期間,ウイルスの長い潜伏期間は接触者追跡の取り組みを大幅に複雑にした。,潜伏期,该病毒较长的潜伏期大大增加了接触追踪工作的难度。,período de incubación,El prolongado período de incubación del virus complicó significativamente los esfuerzos de rastreo de contactos.,thời gian ủ bệnh,Thời gian ủ bệnh kéo dài của virus đã làm phức tạp đáng kể công tác truy vết tiếp xúc.,ระยะฟักตัว,ระยะฟักตัวที่ยาวนานของไวรัสทำให้การติดตามผู้สัมผัสมีความซับซ้อนอย่างมาก,masa inkubasi,Masa inkubasi virus yang berkepanjangan secara signifikan mempersulit upaya pelacakan kontak.
superspreader,"A single superspreader event at the conference led to hundreds of secondary infections.",슈퍼전파자,"학회에서의 단일 슈퍼전파 사건이 수백 건의 2차 감염을 초래했다.",スーパースプレッダー,会議での一つのスーパースプレッダーイベントが数百の二次感染につながった。,超级传播者,会议上的一次超级传播事件导致了数百例继发感染。,supercontagiador,Un solo evento de supercontagio en la conferencia provocó cientos de infecciones secundarias.,siêu lây nhiễm,Một sự kiện siêu lây nhiễm duy nhất tại hội nghị đã dẫn đến hàng trăm ca lây nhiễm thứ phát.,ผู้แพร่เชื้อมาก,เหตุการณ์ผู้แพร่เชื้อมากเพียงครั้งเดียวในที่ประชุมนำไปสู่การติดเชื้อทุติยภูมิหลายร้อยราย,superspreader,Satu peristiwa superspreader di konferensi menyebabkan ratusan infeksi sekunder.
contact tracing,"Digital contact tracing applications raised significant concerns about privacy and civil liberties.",접촉자 추적,"디지털 접촉자 추적 애플리케이션은 개인정보 보호와 시민적 자유에 대한 중대한 우려를 제기했다.",接触者追跡,デジタル接触者追跡アプリケーションはプライバシーと市民的自由に関する重大な懸念を引き起こした。,接触追踪,数字接触追踪应用引发了关于隐私和公民自由的重大关切。,rastreo de contactos,Las aplicaciones digitales de rastreo de contactos generaron preocupaciones significativas sobre la privacidad y las libertades civiles.,truy vết tiếp xúc,Các ứng dụng truy vết tiếp xúc kỹ thuật số đã gây ra mối lo ngại đáng kể về quyền riêng tư và quyền tự do dân sự.,การติดตามผู้สัมผัส,แอปพลิเคชันติดตามผู้สัมผัสแบบดิจิทัลก่อให้เกิดความกังวลอย่างมากเกี่ยวกับความเป็นส่วนตัวและเสรีภาพพลเมือง,pelacakan kontak,Aplikasi pelacakan kontak digital menimbulkan kekhawatiran signifikan tentang privasi dan kebebasan sipil.
cryptographic,"Cryptographic protocols ensure the confidentiality and integrity of sensitive digital communications.",암호학적,"암호학적 프로토콜은 민감한 디지털 통신의 기밀성과 무결성을 보장한다.",暗号の,暗号プロトコルは機密性の高いデジタル通信の秘密性と完全性を保証する。,加密的,加密协议确保敏感数字通信的机密性和完整性。,criptográfico,Los protocolos criptográficos garantizan la confidencialidad e integridad de las comunicaciones digitales sensibles.,mật mã học,Các giao thức mật mã học đảm bảo tính bảo mật và toàn vẹn của các thông tin liên lạc kỹ thuật số nhạy cảm.,การเข้ารหัส,โปรโตคอลการเข้ารหัสรับประกันความลับและความสมบูรณ์ของการสื่อสารดิจิทัลที่ละเอียดอ่อน,kriptografi,Protokol kriptografi memastikan kerahasiaan dan integritas komunikasi digital yang sensitif.
ciphertext,"The ciphertext appeared as an unintelligible sequence of characters without the proper decryption key.",암호문,"암호문은 적절한 복호화 키 없이는 해독 불가능한 문자 시퀀스로 나타났다.",暗号文,暗号文は適切な復号鍵なしでは意味不明な文字列として表示された。,密文,没有正确的解密密钥密文显示为一串无法理解的字符序列。,texto cifrado,El texto cifrado aparecía como una secuencia ininteligible de caracteres sin la clave de descifrado adecuada.,bản mã,Bản mã xuất hiện dưới dạng một chuỗi ký tự không thể hiểu được nếu không có khóa giải mã thích hợp.,ข้อความเข้ารหัส,ข้อความเข้ารหัสปรากฏเป็นลำดับอักขระที่ไม่สามารถเข้าใจได้หากไม่มีกุญแจถอดรหัสที่ถูกต้อง,teks sandi,Teks sandi muncul sebagai urutan karakter yang tidak dapat dipahami tanpa kunci dekripsi yang tepat.
asymmetric encryption,"Asymmetric encryption uses a public key for encryption and a private key for decryption.",비대칭 암호화,"비대칭 암호화는 암호화에 공개 키를 사용하고 복호화에 개인 키를 사용한다.",非対称暗号化,非対称暗号化は暗号化に公開鍵を復号に秘密鍵を使用する。,非对称加密,非对称加密使用公钥进行加密使用私钥进行解密。,cifrado asimétrico,El cifrado asimétrico utiliza una clave pública para cifrar y una clave privada para descifrar.,mã hóa bất đối xứng,Mã hóa bất đối xứng sử dụng khóa công khai để mã hóa và khóa riêng tư để giải mã.,การเข้ารหัสแบบอสมมาตร,การเข้ารหัสแบบอสมมาตรใช้กุญแจสาธารณะสำหรับเข้ารหัสและกุญแจส่วนตัวสำหรับถอดรหัส,enkripsi asimetris,Enkripsi asimetris menggunakan kunci publik untuk enkripsi dan kunci privat untuk dekripsi.
plaintext,"The attacker gained access to the plaintext by exploiting a vulnerability in the key exchange protocol.",평문,"공격자는 키 교환 프로토콜의 취약점을 악용하여 평문에 접근했다.",平文,攻撃者は鍵交換プロトコルの脆弱性を悪用して平文にアクセスした。,明文,攻击者通过利用密钥交换协议中的漏洞获得了明文访问权限。,texto plano,El atacante obtuvo acceso al texto plano explotando una vulnerabilidad en el protocolo de intercambio de claves.,bản rõ,Kẻ tấn công đã truy cập được bản rõ bằng cách khai thác lỗ hổng trong giao thức trao đổi khóa.,ข้อความธรรมดา,ผู้โจมตีเข้าถึงข้อความธรรมดาโดยใช้ประโยชน์จากช่องโหว่ในโปรโตคอลแลกเปลี่ยนกุญแจ,teks terang,Penyerang mendapatkan akses ke teks terang dengan mengeksploitasi kerentanan dalam protokol pertukaran kunci.
steganography,"Steganography conceals secret messages within ordinary images or audio files to avoid detection.",스테가노그래피,"스테가노그래피는 탐지를 피하기 위해 일반 이미지나 오디오 파일 안에 비밀 메시지를 숨긴다.",ステガノグラフィー,ステガノグラフィーは検出を避けるために通常の画像や音声ファイル内に秘密のメッセージを隠す。,隐写术,隐写术将秘密信息隐藏在普通图像或音频文件中以避免被检测。,esteganografía,La esteganografía oculta mensajes secretos dentro de imágenes o archivos de audio ordinarios para evitar la detección.,kỹ thuật giấu tin,Kỹ thuật giấu tin che giấu các thông điệp bí mật trong các tệp hình ảnh hoặc âm thanh thông thường để tránh bị phát hiện.,การซ่อนข้อมูล,การซ่อนข้อมูลปกปิดข้อความลับภายในภาพหรือไฟล์เสียงธรรมดาเพื่อหลีกเลี่ยงการตรวจจับ,steganografi,Steganografi menyembunyikan pesan rahasia dalam gambar atau file audio biasa untuk menghindari deteksi.
cryptanalysis,"Modern cryptanalysis employs sophisticated mathematical techniques to identify weaknesses in encryption algorithms.",암호 해독,"현대 암호 해독은 암호화 알고리즘의 약점을 식별하기 위해 정교한 수학적 기법을 사용한다.",暗号解析,現代の暗号解析は暗号化アルゴリズムの弱点を特定するために高度な数学的技法を用いる。,密码分析,现代密码分析采用复杂的数学技术来识别加密算法中的弱点。,criptoanálisis,El criptoanálisis moderno emplea técnicas matemáticas sofisticadas para identificar debilidades en los algoritmos de cifrado.,phân tích mật mã,Phân tích mật mã hiện đại sử dụng các kỹ thuật toán học tinh vi để xác định điểm yếu trong các thuật toán mã hóa.,การวิเคราะห์รหัส,การวิเคราะห์รหัสสมัยใหม่ใช้เทคนิคทางคณิตศาสตร์ที่ซับซ้อนเพื่อระบุจุดอ่อนในอัลกอริทึมการเข้ารหัส,kriptanalisis,Kriptanalisis modern menggunakan teknik matematika canggih untuk mengidentifikasi kelemahan dalam algoritma enkripsi.
hash function,"A cryptographic hash function maps input data of arbitrary size to a fixed-length output.",해시 함수,"암호학적 해시 함수는 임의 크기의 입력 데이터를 고정 길이 출력으로 매핑한다.",ハッシュ関数,暗号ハッシュ関数は任意のサイズの入力データを固定長の出力にマッピングする。,哈希函数,加密哈希函数将任意大小的输入数据映射为固定长度的输出。,función hash,Una función hash criptográfica mapea datos de entrada de tamaño arbitrario a una salida de longitud fija.,hàm băm,Hàm băm mật mã ánh xạ dữ liệu đầu vào có kích thước tùy ý thành đầu ra có độ dài cố định.,ฟังก์ชันแฮช,ฟังก์ชันแฮชเข้ารหัสจับคู่ข้อมูลนำเข้าขนาดใดก็ได้กับผลลัพธ์ที่มีความยาวคงที่,fungsi hash,Fungsi hash kriptografi memetakan data masukan dengan ukuran sembarang ke keluaran dengan panjang tetap.
digital signature,"A digital signature verifies both the authenticity of the sender and the integrity of the message.",디지털 서명,"디지털 서명은 발신자의 진위성과 메시지의 무결성을 모두 검증한다.",デジタル署名,デジタル署名は送信者の真正性とメッセージの完全性の両方を検証する。,数字签名,数字签名验证发送者的真实性和消息的完整性。,firma digital,Una firma digital verifica tanto la autenticidad del remitente como la integridad del mensaje.,chữ ký số,Chữ ký số xác minh cả tính xác thực của người gửi và tính toàn vẹn của thông điệp.,ลายเซ็นดิจิทัล,ลายเซ็นดิจิทัลตรวจสอบทั้งความถูกต้องของผู้ส่งและความสมบูรณ์ของข้อความ,tanda tangan digital,Tanda tangan digital memverifikasi keaslian pengirim dan integritas pesan.
entropy,"High entropy in a cryptographic key ensures resistance against brute-force attacks.",엔트로피,"암호화 키의 높은 엔트로피는 무차별 대입 공격에 대한 저항성을 보장한다.",エントロピー,暗号鍵の高いエントロピーはブルートフォース攻撃に対する耐性を保証する。,熵,加密密钥的高熵确保了对暴力攻击的抵抗力。,entropía,La alta entropía en una clave criptográfica asegura la resistencia contra ataques de fuerza bruta.,entropy,Entropy cao trong khóa mật mã đảm bảo khả năng chống lại các cuộc tấn công vét cạn.,เอนโทรปี,เอนโทรปีสูงในกุญแจเข้ารหัสรับประกันความต้านทานต่อการโจมตีแบบบรูทฟอร์ซ,entropi,Entropi tinggi dalam kunci kriptografi memastikan ketahanan terhadap serangan brute-force.
obfuscation,"Code obfuscation makes reverse engineering of proprietary software considerably more difficult.",난독화,"코드 난독화는 독점 소프트웨어의 역공학을 상당히 더 어렵게 만든다.",難読化,コードの難読化はプロプライエタリソフトウェアのリバースエンジニアリングを大幅に困難にする。,混淆,代码混淆使专有软件的逆向工程变得更加困难。,ofuscación,La ofuscación de código hace que la ingeniería inversa del software propietario sea considerablemente más difícil.,làm rối mã,Làm rối mã khiến việc dịch ngược phần mềm độc quyền trở nên khó khăn hơn đáng kể.,การทำให้สับสน,การทำให้โค้ดสับสนทำให้การวิศวกรรมย้อนกลับซอฟต์แวร์เชิงพาณิชย์ยากขึ้นอย่างมาก,obfuskasi,Obfuskasi kode membuat rekayasa balik perangkat lunak proprietary jauh lebih sulit.
nonce,"Each transaction requires a unique nonce to prevent replay attacks on the authentication system.",논스,"각 트랜잭션은 인증 시스템에 대한 재전송 공격을 방지하기 위해 고유한 논스를 필요로 한다.",ナンス,各トランザクションは認証システムへのリプレイ攻撃を防ぐために一意のナンスを必要とする。,随机数,每个事务都需要一个唯一的随机数来防止对身份验证系统的重放攻击。,nonce,Cada transacción requiere un nonce único para prevenir ataques de repetición en el sistema de autenticación.,số dùng một lần,Mỗi giao dịch yêu cầu một số dùng một lần duy nhất để ngăn chặn các cuộc tấn công phát lại trên hệ thống xác thực.,ค่าที่ใช้ครั้งเดียว,แต่ละธุรกรรมต้องใช้ค่าที่ใช้ครั้งเดียวที่ไม่ซ้ำกันเพื่อป้องกันการโจมตีแบบเล่นซ้ำ,nonce,Setiap transaksi memerlukan nonce unik untuk mencegah serangan replay pada sistem autentikasi.
key escrow,"Key escrow systems remain controversial because they create potential backdoors for government surveillance.",키 에스크로,"키 에스크로 시스템은 정부 감시를 위한 잠재적 백도어를 만들기 때문에 여전히 논란이 되고 있다.",鍵エスクロー,鍵エスクローシステムは政府の監視のための潜在的なバックドアを作るため依然として物議を醸している。,密钥托管,密钥托管系统仍然存在争议因为它们为政府监控创造了潜在的后门。,depósito de claves,Los sistemas de depósito de claves siguen siendo controvertidos porque crean posibles puertas traseras para la vigilancia gubernamental.,ký quỹ khóa,Các hệ thống ký quỹ khóa vẫn gây tranh cãi vì chúng tạo ra các cửa hậu tiềm tàng cho hoạt động giám sát của chính phủ.,การฝากกุญแจ,ระบบฝากกุญแจยังคงเป็นที่ถกเถียงเพราะสร้างช่องทางลับที่อาจเกิดขึ้นสำหรับการเฝ้าระวังของรัฐบาล,escrow kunci,Sistem escrow kunci tetap kontroversial karena menciptakan potensi pintu belakang untuk pengawasan pemerintah.
block cipher,"A block cipher encrypts data in fixed-size blocks rather than processing individual bits sequentially.",블록 암호,"블록 암호는 개별 비트를 순차적으로 처리하는 대신 고정 크기 블록으로 데이터를 암호화한다.",ブロック暗号,ブロック暗号は個々のビットを順次処理するのではなく固定サイズのブロック単位でデータを暗号化する。,分组密码,分组密码以固定大小的块加密数据而不是逐个处理单个比特。,cifrado por bloques,Un cifrado por bloques cifra datos en bloques de tamaño fijo en lugar de procesar bits individuales secuencialmente.,mã khối,Mã khối mã hóa dữ liệu theo các khối có kích thước cố định thay vì xử lý từng bit riêng lẻ.,รหัสบล็อก,รหัสบล็อกเข้ารหัสข้อมูลเป็นบล็อกขนาดคงที่แทนที่จะประมวลผลบิตแต่ละบิตตามลำดับ,cipher blok,Cipher blok mengenkripsi data dalam blok berukuran tetap daripada memproses bit individual secara berurutan.
