english,example,ko_meaning,ko_example,ja_meaning,ja_example,zh_meaning,zh_example,es_meaning,es_example,vi_meaning,vi_example,th_meaning,th_example,id_meaning,id_example
phlebotomy,Phlebotomy training ensures blood samples are collected safely and accurately.,채혈술,채혈술 훈련은 혈액 샘플이 안전하고 정확하게 수집되도록 보장한다.,瀉血術,瀉血術の訓練は血液サンプルが安全かつ正確に採取されることを保証する。,静脉切开术,静脉切开术培训确保安全准确地采集血液样本。,flebotomía,La formación en flebotomía garantiza que las muestras de sangre se recojan de manera segura y precisa.,lấy máu tĩnh mạch,Đào tạo lấy máu tĩnh mạch đảm bảo mẫu máu được thu thập an toàn và chính xác.,การเจาะเลือด,การฝึกอบรมการเจาะเลือดช่วยให้มั่นใจว่าตัวอย่างเลือดถูกเก็บอย่างปลอดภัยและแม่นยำ,flebotomi,Pelatihan flebotomi memastikan sampel darah dikumpulkan dengan aman dan akurat.
lidar,Lidar technology maps terrain features beneath dense forest canopy.,라이다,라이다 기술은 울창한 숲 캐노피 아래의 지형 특징을 매핑한다.,ライダー,ライダー技術は密な森林の樹冠の下の地形特徴をマッピングする。,激光雷达,激光雷达技术绘制茂密森林冠层下的地形特征。,lidar,La tecnología lidar mapea las características del terreno bajo la densa copa del bosque.,lidar,Công nghệ lidar lập bản đồ địa hình bên dưới tán rừng rậm.,ไลดาร์,เทคโนโลยีไลดาร์ทำแผนที่ลักษณะภูมิประเทศใต้เรือนยอดป่าทึบ,lidar,Teknologi lidar memetakan fitur medan di bawah kanopi hutan lebat.
chromatid,During cell division each chromosome consists of two identical chromatids.,염색분체,세포 분열 동안 각 염색체는 두 개의 동일한 염색분체로 구성된다.,染色分体,細胞分裂の際、各染色体は2つの同一の染色分体から成る。,染色单体,在细胞分裂过程中，每条染色体由两条相同的染色单体组成。,cromátida,Durante la división celular cada cromosoma consta de dos cromátidas idénticas.,nhiễm sắc tử,Trong quá trình phân bào mỗi nhiễm sắc thể gồm hai nhiễm sắc tử giống hệt nhau.,โครมาทิด,ระหว่างการแบ่งเซลล์โครโมโซมแต่ละตัวประกอบด้วยโครมาทิดที่เหมือนกันสองตัว,kromatid,Selama pembelahan sel setiap kromosom terdiri dari dua kromatid identik.
leachate,Toxic leachate from landfills can contaminate surrounding groundwater supplies.,침출수,매립지의 독성 침출수는 주변 지하수 공급원을 오염시킬 수 있다.,浸出液,埋立地からの有毒浸出液は周辺の地下水を汚染する可能性がある。,渗滤液,垃圾填埋场的有毒渗滤液可能污染周围的地下水。,lixiviado,El lixiviado tóxico de los vertederos puede contaminar los suministros de agua subterránea circundantes.,nước rỉ rác,Nước rỉ rác độc hại từ bãi chôn lấp có thể gây ô nhiễm nguồn nước ngầm xung quanh.,น้ำชะ,น้ำชะที่เป็นพิษจากหลุมฝังกลบสามารถปนเปื้อนแหล่งน้ำใต้ดินโดยรอบ,lindi,Lindi beracun dari tempat pembuangan dapat mencemari pasokan air tanah di sekitarnya.
endothermic,Photosynthesis is an endothermic process that requires energy input from light.,흡열의,광합성은 빛으로부터 에너지 투입을 필요로 하는 흡열 과정이다.,吸熱の,光合成は光からのエネルギー入力を必要とする吸熱プロセスである。,吸热的,光合作用是需要光能输入的吸热过程。,endotérmico,La fotosíntesis es un proceso endotérmico que requiere aporte de energía de la luz.,thu nhiệt,Quang hợp là quá trình thu nhiệt đòi hỏi năng lượng từ ánh sáng.,ดูดความร้อน,การสังเคราะห์แสงเป็นกระบวนการดูดความร้อนที่ต้องการพลังงานจากแสง,endotermik,Fotosintesis adalah proses endotermik yang membutuhkan masukan energi dari cahaya.
palynology,Palynology uses pollen analysis to reconstruct vegetation history.,화분학,화분학은 화분 분석을 사용하여 식생 역사를 재구성한다.,花粉学,花粉学は花粉分析を用いて植生の歴史を復元する。,孢粉学,孢粉学利用花粉分析重建植被历史。,palinología,La palinología usa el análisis de polen para reconstruir la historia de la vegetación.,bào tử phấn hoa học,Bào tử phấn hoa học sử dụng phân tích phấn hoa để tái dựng lịch sử thảm thực vật.,เรณูวิทยา,เรณูวิทยาใช้การวิเคราะห์ละอองเรณูเพื่อสร้างประวัติศาสตร์พืชพรรณขึ้นมาใหม่,palinologi,Palinologi menggunakan analisis serbuk sari untuk merekonstruksi sejarah vegetasi.
diurnal,Diurnal temperature variations are more extreme in desert environments.,주간의,사막 환경에서는 주간 온도 변화가 더 극단적이다.,日周性の,砂漠環境では日周性の温度変化がより極端である。,昼间的,沙漠环境中的昼间温度变化更为极端。,diurno,Las variaciones diurnas de temperatura son más extremas en los ambientes desérticos.,ban ngày,Biến động nhiệt độ ban ngày cực đoan hơn trong môi trường sa mạc.,ในช่วงกลางวัน,การเปลี่ยนแปลงอุณหภูมิในช่วงกลางวันรุนแรงมากขึ้นในสภาพแวดล้อมทะเลทราย,diurnal,Variasi suhu diurnal lebih ekstrem di lingkungan gurun.
thrombosis,Deep vein thrombosis can lead to life-threatening pulmonary embolism.,혈전증,심부정맥 혈전증은 생명을 위협하는 폐색전증으로 이어질 수 있다.,血栓症,深部静脈血栓症は生命を脅かす肺塞栓症につながる可能性がある。,血栓形成,深静脉血栓形成可导致危及生命的肺栓塞。,trombosis,La trombosis venosa profunda puede provocar una embolia pulmonar potencialmente mortal.,huyết khối,Huyết khối tĩnh mạch sâu có thể dẫn đến thuyên tắc phổi đe dọa tính mạng.,การเกิดลิ่มเลือด,การเกิดลิ่มเลือดในหลอดเลือดดำส่วนลึกอาจนำไปสู่ภาวะลิ่มเลือดอุดกั้นในปอดที่เป็นอันตรายถึงชีวิต,trombosis,Trombosis vena dalam dapat menyebabkan emboli paru yang mengancam jiwa.
pedogenesis,Pedogenesis is influenced by climate and the parent rock material.,토양 생성,토양 생성은 기후와 모암 물질의 영향을 받는다.,土壌生成,土壌生成は気候と母岩物質の影響を受ける。,成土作用,成土作用受气候和母岩材料的影响。,pedogénesis,La pedogénesis está influenciada por el clima y el material de la roca madre.,sự hình thành đất,Sự hình thành đất bị ảnh hưởng bởi khí hậu và vật liệu đá gốc.,กระบวนการเกิดดิน,กระบวนการเกิดดินได้รับอิทธิพลจากสภาพภูมิอากาศและวัสดุหินต้นกำเนิด,pedogenesis,Pedogenesis dipengaruhi oleh iklim dan material batuan induk.
exothermic,Combustion is a highly exothermic reaction that releases significant heat energy.,발열의,연소는 상당한 열에너지를 방출하는 매우 발열적인 반응이다.,発熱の,燃焼は大量の熱エネルギーを放出する非常に発熱的な反応である。,放热的,燃烧是一种释放大量热能的高度放热反应。,exotérmico,La combustión es una reacción altamente exotérmica que libera una cantidad significativa de energía térmica.,tỏa nhiệt,Đốt cháy là phản ứng tỏa nhiệt mạnh giải phóng năng lượng nhiệt đáng kể.,คายความร้อน,การเผาไหม้เป็นปฏิกิริยาคายความร้อนอย่างมากที่ปลดปล่อยพลังงานความร้อนจำนวนมาก,eksotermik,Pembakaran adalah reaksi eksotermik yang melepaskan energi panas yang signifikan.
nosocomial,Strict hand hygiene protocols have reduced nosocomial infection rates significantly.,원내 감염의,엄격한 손 위생 규약은 원내 감염률을 크게 줄였다.,院内感染の,厳格な手指衛生プロトコルは院内感染率を大幅に減少させた。,院内感染的,严格的手卫生规程大大降低了院内感染率。,nosocomial,Los protocolos estrictos de higiene de manos han reducido significativamente las tasas de infección nosocomial.,nhiễm khuẩn bệnh viện,Quy trình vệ sinh tay nghiêm ngặt đã giảm đáng kể tỷ lệ nhiễm khuẩn bệnh viện.,การติดเชื้อในโรงพยาบาล,มาตรการล้างมืออย่างเข้มงวดลดอัตราการติดเชื้อในโรงพยาบาลอย่างมีนัยสำคัญ,nosokomial,Protokol kebersihan tangan yang ketat telah mengurangi tingkat infeksi nosokomial secara signifikan.
runoff,Agricultural runoff carries fertilizers and pesticides into nearby waterways.,유출수,농업 유출수는 비료와 살충제를 인근 수로로 운반한다.,流出水,農業流出水は肥料と農薬を近くの水路に運ぶ。,径流,农业径流将化肥和农药带入附近的水道。,escorrentía,La escorrentía agrícola transporta fertilizantes y pesticidas a los cursos de agua cercanos.,nước chảy tràn,Nước chảy tràn từ nông nghiệp mang phân bón và thuốc trừ sâu vào các dòng nước gần đó.,น้ำไหลบ่า,น้ำไหลบ่าจากเกษตรกรรมพาปุ๋ยและสารกำจัดศัตรูพืชลงสู่ทางน้ำใกล้เคียง,limpasan,Limpasan pertanian membawa pupuk dan pestisida ke saluran air terdekat.
bioassay,A bioassay measured the toxicity of the effluent on aquatic organisms.,생물검정,생물검정은 수생 생물에 대한 방류수의 독성을 측정했다.,バイオアッセイ,バイオアッセイは水生生物に対する排水の毒性を測定した。,生物测定,生物测定法测量了废水对水生生物的毒性。,bioensayo,Un bioensayo midió la toxicidad del efluente en los organismos acuáticos.,thử nghiệm sinh học,Thử nghiệm sinh học đo độc tính của nước thải đối với sinh vật thủy sinh.,การทดสอบทางชีวภาพ,การทดสอบทางชีวภาพวัดความเป็นพิษของน้ำทิ้งต่อสิ่งมีชีวิตในน้ำ,bioassay,Bioassay mengukur toksisitas efluen pada organisme akuatik.
prophylaxis,Antimalarial prophylaxis is recommended for travellers to endemic regions.,예방법,말라리아 예방법은 풍토병 지역으로 여행하는 사람들에게 권장된다.,予防法,マラリア予防法は流行地域への旅行者に推奨される。,预防措施,建议前往流行地区的旅行者采取抗疟预防措施。,profilaxis,La profilaxis antipalúdica se recomienda para viajeros a regiones endémicas.,dự phòng,Dự phòng sốt rét được khuyến nghị cho du khách đến vùng dịch.,การป้องกันโรค,แนะนำการป้องกันโรคมาลาเรียสำหรับนักเดินทางไปยังพื้นที่ที่มีโรคเฉพาะถิ่น,profilaksis,Profilaksis antimalaria direkomendasikan untuk pelancong ke daerah endemik.
albedo,Melting ice reduces Earth's albedo and accelerates global warming.,알베도,얼음이 녹으면 지구의 알베도가 감소하고 지구 온난화가 가속화된다.,アルベド,氷の融解は地球のアルベドを低下させ地球温暖化を加速する。,反照率,冰层融化降低了地球的反照率并加速了全球变暖。,albedo,El derretimiento del hielo reduce el albedo de la Tierra y acelera el calentamiento global.,suất phản chiếu,Băng tan làm giảm suất phản chiếu của Trái Đất và đẩy nhanh sự nóng lên toàn cầu.,อัลบีโด,น้ำแข็งละลายลดอัลบีโดของโลกและเร่งภาวะโลกร้อน,albedo,Mencairnya es mengurangi albedo Bumi dan mempercepat pemanasan global.
mitosis,Mitosis ensures that each daughter cell receives an identical set of chromosomes.,유사분열,유사분열은 각 딸세포가 동일한 염색체 세트를 받도록 보장한다.,有糸分裂,有糸分裂は各娘細胞が同一の染色体セットを受け取ることを保証する。,有丝分裂,有丝分裂确保每个子细胞获得一套相同的染色体。,mitosis,La mitosis asegura que cada célula hija reciba un conjunto idéntico de cromosomas.,nguyên phân,Nguyên phân đảm bảo mỗi tế bào con nhận được bộ nhiễm sắc thể giống hệt nhau.,ไมโทซิส,ไมโทซิสทำให้มั่นใจว่าเซลล์ลูกแต่ละเซลล์ได้รับชุดโครโมโซมที่เหมือนกัน,mitosis,Mitosis memastikan setiap sel anak menerima satu set kromosom yang identik.
meiosis,Meiosis produces four genetically distinct gametes from a single parent cell.,감수분열,감수분열은 하나의 모세포에서 유전적으로 다른 네 개의 생식세포를 생산한다.,減数分裂,減数分裂は1つの親細胞から遺伝的に異なる4つの配偶子を生成する。,减数分裂,减数分裂从单个母细胞产生四个遗传上不同的配子。,meiosis,La meiosis produce cuatro gametos genéticamente distintos a partir de una sola célula madre.,giảm phân,Giảm phân tạo ra bốn giao tử khác nhau về mặt di truyền từ một tế bào mẹ.,ไมโอซิส,ไมโอซิสผลิตเซลล์สืบพันธุ์ที่แตกต่างทางพันธุกรรมสี่เซลล์จากเซลล์แม่เซลล์เดียว,meiosis,Meiosis menghasilkan empat gamet yang secara genetik berbeda dari satu sel induk.
benthic,Benthic organisms inhabit the sediment at the bottom of lakes and oceans.,저서성의,저서성 생물은 호수와 바다 바닥의 퇴적물에 서식한다.,底生の,底生生物は湖や海の底の堆積物に生息する。,底栖的,底栖生物栖息在湖泊和海洋底部的沉积物中。,bentónico,Los organismos bentónicos habitan los sedimentos del fondo de lagos y océanos.,sinh vật đáy,Sinh vật đáy sinh sống trong trầm tích ở đáy hồ và đại dương.,สิ่งมีชีวิตหน้าดิน,สิ่งมีชีวิตหน้าดินอาศัยอยู่ในตะกอนที่ก้นทะเลสาบและมหาสมุทร,bentik,Organisme bentik menghuni sedimen di dasar danau dan samudra.
catabolic,Catabolic pathways break down complex molecules to release stored energy.,이화의,이화 경로는 저장된 에너지를 방출하기 위해 복잡한 분자를 분해한다.,異化の,異化経路は複雑な分子を分解して蓄えられたエネルギーを放出する。,分解代谢的,分解代谢途径分解复杂分子以释放储存的能量。,catabólico,Las vías catabólicas descomponen moléculas complejas para liberar energía almacenada.,dị hóa,Con đường dị hóa phân giải các phân tử phức tạp để giải phóng năng lượng dự trữ.,แคทาบอลิก,วิถีแคทาบอลิกสลายโมเลกุลที่ซับซ้อนเพื่อปล่อยพลังงานที่สะสมไว้,katabolik,Jalur katabolik memecah molekul kompleks untuk melepaskan energi yang tersimpan.
anabolic,Anabolic processes build complex proteins from simple amino acid precursors.,동화의,동화 과정은 단순한 아미노산 전구체로부터 복잡한 단백질을 합성한다.,同化の,同化プロセスは単純なアミノ酸前駆体から複雑なタンパク質を構築する。,合成代谢的,合成代谢过程从简单的氨基酸前体构建复杂的蛋白质。,anabólico,Los procesos anabólicos construyen proteínas complejas a partir de precursores de aminoácidos simples.,đồng hóa,Quá trình đồng hóa xây dựng protein phức tạp từ tiền chất amino acid đơn giản.,อะนาบอลิก,กระบวนการอะนาบอลิกสร้างโปรตีนที่ซับซ้อนจากกรดอะมิโนพื้นฐาน,anabolik,Proses anabolik membangun protein kompleks dari prekursor asam amino sederhana.
xerophyte,Cacti are xerophytes adapted to survive prolonged drought conditions.,건생식물,선인장은 장기간의 가뭄 조건에 적응한 건생식물이다.,乾生植物,サボテンは長期の干ばつ条件で生存するよう適応した乾生植物である。,旱生植物,仙人掌是适应长期干旱条件的旱生植物。,xerófito,Los cactus son xerófitos adaptados para sobrevivir condiciones de sequía prolongada.,thực vật chịu hạn,Xương rồng là thực vật chịu hạn thích nghi để sống sót trong điều kiện hạn hán kéo dài.,พืชทนแล้ง,กระบองเพชรเป็นพืชทนแล้งที่ปรับตัวให้อยู่รอดในสภาวะแห้งแล้งเป็นเวลานาน,xerofit,Kaktus adalah xerofit yang beradaptasi untuk bertahan dalam kondisi kekeringan berkepanjangan.
invertebrate,Invertebrates account for more than 95 percent of all known animal species.,무척추동물,무척추동물은 알려진 모든 동물 종의 95% 이상을 차지한다.,無脊椎動物,無脊椎動物は既知の全動物種の95パーセント以上を占める。,无脊椎动物,无脊椎动物占所有已知动物物种的95%以上。,invertebrado,Los invertebrados representan más del 95 por ciento de todas las especies animales conocidas.,động vật không xương sống,Động vật không xương sống chiếm hơn 95 phần trăm tất cả các loài động vật đã biết.,สัตว์ไม่มีกระดูกสันหลัง,สัตว์ไม่มีกระดูกสันหลังคิดเป็นมากกว่า 95 เปอร์เซ็นต์ของสัตว์ทั้งหมดที่รู้จัก,invertebrata,Invertebrata menyumbang lebih dari 95 persen dari semua spesies hewan yang diketahui.
sterilization,Autoclave sterilization eliminates all microbial life from surgical instruments.,멸균,고압증기 멸균은 수술 기구에서 모든 미생물을 제거한다.,滅菌,オートクレーブ滅菌は外科器具からすべての微生物を除去する。,灭菌,高压灭菌消除了手术器械上的所有微生物。,esterilización,La esterilización en autoclave elimina toda la vida microbiana de los instrumentos quirúrgicos.,tiệt trùng,Tiệt trùng bằng nồi hấp loại bỏ tất cả vi sinh vật từ dụng cụ phẫu thuật.,การฆ่าเชื้อ,การฆ่าเชื้อด้วยหม้อนึ่งความดันกำจัดจุลินทรีย์ทั้งหมดจากเครื่องมือผ่าตัด,sterilisasi,Sterilisasi autoklaf menghilangkan semua kehidupan mikroba dari instrumen bedah.
epigenetics,Epigenetics explains how environmental factors alter gene expression without changing DNA.,후성유전학,후성유전학은 환경 요인이 DNA를 변경하지 않고 유전자 발현을 어떻게 변경하는지 설명한다.,エピジェネティクス,エピジェネティクスはDNAを変えずに環境要因がどのように遺伝子発現を変えるかを説明する。,表观遗传学,表观遗传学解释了环境因素如何在不改变DNA的情况下改变基因表达。,epigenética,La epigenética explica cómo los factores ambientales alteran la expresión génica sin cambiar el ADN.,di truyền biểu sinh,Di truyền biểu sinh giải thích cách yếu tố môi trường thay đổi biểu hiện gen mà không thay đổi DNA.,เอพิเจเนติกส์,เอพิเจเนติกส์อธิบายว่าปัจจัยสิ่งแวดล้อมเปลี่ยนแปลงการแสดงออกของยีนได้อย่างไรโดยไม่เปลี่ยน DNA,epigenetik,Epigenetik menjelaskan bagaimana faktor lingkungan mengubah ekspresi gen tanpa mengubah DNA.
lipid,Lipid bilayers form the structural basis of all biological cell membranes.,지질,지질 이중층은 모든 생물학적 세포막의 구조적 기초를 형성한다.,脂質,脂質二重層はすべての生体細胞膜の構造的基盤を形成する。,脂质,脂质双分子层构成所有生物细胞膜的结构基础。,lípido,Las bicapas lipídicas forman la base estructural de todas las membranas celulares biológicas.,lipid,Lớp kép lipid tạo nên cơ sở cấu trúc của tất cả các màng tế bào sinh học.,ไขมัน,ชั้นไขมันสองชั้นเป็นพื้นฐานโครงสร้างของเยื่อหุ้มเซลล์ทางชีวภาพทั้งหมด,lipid,Lapisan ganda lipid membentuk dasar struktural dari semua membran sel biologis.
ecotoxicology,Ecotoxicology assesses how chemical pollutants affect organisms and ecosystems.,생태독성학,생태독성학은 화학 오염물질이 유기체와 생태계에 어떻게 영향을 미치는지 평가한다.,生態毒性学,生態毒性学は化学汚染物質が生物と生態系にどう影響するかを評価する。,生态毒理学,生态毒理学评估化学污染物如何影响生物和生态系统。,ecotoxicología,La ecotoxicología evalúa cómo los contaminantes químicos afectan a los organismos y ecosistemas.,độc chất học sinh thái,Độc chất học sinh thái đánh giá cách chất ô nhiễm hóa học ảnh hưởng đến sinh vật và hệ sinh thái.,นิเวศพิษวิทยา,นิเวศพิษวิทยาประเมินว่ามลพิษทางเคมีส่งผลต่อสิ่งมีชีวิตและระบบนิเวศอย่างไร,ekotoksikologi,Ekotoksikologi menilai bagaimana polutan kimia memengaruhi organisme dan ekosistem.
plasmid,Scientists use plasmids as vectors to introduce foreign DNA into bacteria.,플라스미드,과학자들은 외래 DNA를 박테리아에 도입하기 위해 벡터로서 플라스미드를 사용한다.,プラスミド,科学者はプラスミドをベクターとして使い外来DNAを細菌に導入する。,质粒,科学家使用质粒作为载体将外源DNA引入细菌。,plásmido,Los científicos usan plásmidos como vectores para introducir ADN extraño en bacterias.,plasmid,Các nhà khoa học sử dụng plasmid làm vector để đưa DNA ngoại lai vào vi khuẩn.,พลาสมิด,นักวิทยาศาสตร์ใช้พลาสมิดเป็นตัวนำเพื่อนำดีเอ็นเอแปลกปลอมเข้าสู่แบคทีเรีย,plasmid,Ilmuwan menggunakan plasmid sebagai vektor untuk memasukkan DNA asing ke dalam bakteri.
radiometry,Satellite radiometry measures energy emitted by Earth's surface and atmosphere.,복사 측정,위성 복사 측정은 지구 표면과 대기에서 방출되는 에너지를 측정한다.,放射測定,衛星放射測定は地球の表面と大気から放出されるエネルギーを測定する。,辐射测量,卫星辐射测量测量地球表面和大气发射的能量。,radiometría,La radiometría satelital mide la energía emitida por la superficie y la atmósfera de la Tierra.,bức xạ kế,Đo bức xạ vệ tinh đo năng lượng phát ra từ bề mặt Trái Đất và khí quyển.,การวัดรังสี,การวัดรังสีจากดาวเทียมวัดพลังงานที่แผ่ออกจากพื้นผิวโลกและชั้นบรรยากาศ,radiometri,Radiometri satelit mengukur energi yang dipancarkan oleh permukaan dan atmosfer Bumi.
amortize,The company will amortize the cost of the equipment over ten years.,상각하다,회사는 장비 비용을 10년에 걸쳐 상각할 것이다.,償却する,会社は設備費用を10年かけて償却する。,摊销,公司将在十年内摊销设备成本。,amortizar,La empresa amortizará el costo del equipo en diez años.,khấu hao,Công ty sẽ khấu hao chi phí thiết bị trong mười năm.,ตัดจำหน่าย,บริษัทจะตัดจำหน่ายค่าอุปกรณ์ในระยะเวลาสิบปี,mengamortisasi,Perusahaan akan mengamortisasi biaya peralatan selama sepuluh tahun.
liquidate,The struggling firm was forced to liquidate its assets to repay creditors.,청산하다,어려움을 겪는 회사는 채권자에게 상환하기 위해 자산을 청산해야 했다.,清算する,経営難の企業は債権者への返済のため資産を清算せざるを得なかった。,清算,这家困难重重的公司被迫清算资产以偿还债权人。,liquidar,La empresa en dificultades se vio obligada a liquidar sus activos para pagar a los acreedores.,thanh lý,Công ty gặp khó khăn buộc phải thanh lý tài sản để trả nợ cho chủ nợ.,ชำระบัญชี,บริษัทที่ประสบปัญหาถูกบังคับให้ชำระบัญชีสินทรัพย์เพื่อชำระหนี้เจ้าหนี้,melikuidasi,Perusahaan yang kesulitan terpaksa melikuidasi asetnya untuk membayar kreditur.
arbitrage,Traders exploit arbitrage opportunities between different currency markets.,차익거래,거래자들은 서로 다른 통화 시장 간의 차익거래 기회를 이용한다.,裁定取引,トレーダーは異なる通貨市場間の裁定取引の機会を利用する。,套利,交易者利用不同货币市场之间的套利机会。,arbitraje,Los comerciantes explotan oportunidades de arbitraje entre diferentes mercados de divisas.,kinh doanh chênh lệch giá,Các nhà giao dịch khai thác cơ hội kinh doanh chênh lệch giá giữa các thị trường tiền tệ.,การเก็งกำไร,นักเทรดใช้โอกาสการเก็งกำไรระหว่างตลาดสกุลเงินต่างๆ,arbitrase,Pedagang memanfaatkan peluang arbitrase antara pasar mata uang yang berbeda.
oligopoly,The telecommunications sector operates as an oligopoly in many developing nations.,과점,통신 부문은 많은 개발도상국에서 과점으로 운영된다.,寡占,電気通信部門は多くの発展途上国で寡占状態にある。,寡头垄断,电信行业在许多发展中国家以寡头垄断的形式运营。,oligopolio,El sector de telecomunicaciones opera como un oligopolio en muchas naciones en desarrollo.,độc quyền nhóm,Ngành viễn thông hoạt động như một thị trường độc quyền nhóm ở nhiều quốc gia đang phát triển.,ตลาดผู้ขายน้อยราย,ภาคโทรคมนาคมดำเนินงานในรูปแบบตลาดผู้ขายน้อยรายในหลายประเทศกำลังพัฒนา,oligopoli,Sektor telekomunikasi beroperasi sebagai oligopoli di banyak negara berkembang.
depreciation,The rapid depreciation of machinery reduces the company's taxable income.,감가상각,기계의 급속한 감가상각은 회사의 과세 소득을 줄인다.,減価償却,機械の急速な減価償却は会社の課税所得を減少させる。,折旧,机械的快速折旧降低了公司的应税收入。,depreciación,La rápida depreciación de la maquinaria reduce los ingresos imponibles de la empresa.,khấu hao,Sự khấu hao nhanh chóng của máy móc làm giảm thu nhập chịu thuế của công ty.,ค่าเสื่อมราคา,ค่าเสื่อมราคาอย่างรวดเร็วของเครื่องจักรลดรายได้ที่ต้องเสียภาษีของบริษัท,depresiasi,Depresiasi mesin yang cepat mengurangi pendapatan kena pajak perusahaan.
dividend,Shareholders received a generous dividend following the record profits.,배당금,주주들은 기록적인 수익에 따라 넉넉한 배당금을 받았다.,配当金,株主は記録的な利益に続いて寛大な配当金を受け取った。,股息,股东在创纪录的利润之后获得了丰厚的股息。,dividendo,Los accionistas recibieron un generoso dividendo tras las ganancias récord.,cổ tức,Các cổ đông nhận được cổ tức hậu hĩnh sau khi lợi nhuận đạt kỷ lục.,เงินปันผล,ผู้ถือหุ้นได้รับเงินปันผลจำนวนมากหลังจากผลกำไรทำสถิติสูงสุด,dividen,Pemegang saham menerima dividen yang besar setelah laba mencapai rekor.
austerity,The government implemented austerity measures to reduce the national debt.,긴축,정부는 국가 부채를 줄이기 위해 긴축 조치를 시행했다.,緊縮,政府は国家債務を削減するために緊縮策を実施した。,紧缩,政府实施了紧缩措施以减少国家债务。,austeridad,El gobierno implementó medidas de austeridad para reducir la deuda nacional.,thắt lưng buộc bụng,Chính phủ đã thực hiện các biện pháp thắt lưng buộc bụng để giảm nợ quốc gia.,มาตรการรัดเข็มขัด,รัฐบาลใช้มาตรการรัดเข็มขัดเพื่อลดหนี้สาธารณะ,penghematan,Pemerintah menerapkan langkah-langkah penghematan untuk mengurangi utang nasional.
deregulation,Deregulation of the banking sector led to increased competition among lenders.,규제 완화,은행 부문의 규제 완화는 대출 기관 간의 경쟁을 증가시켰다.,規制緩和,銀行部門の規制緩和は貸し手間の競争を激化させた。,放松管制,银行业的放松管制导致贷款机构之间竞争加剧。,desregulación,La desregulación del sector bancario llevó a una mayor competencia entre los prestamistas.,bãi bỏ quy định,Việc bãi bỏ quy định trong ngành ngân hàng đã dẫn đến cạnh tranh gia tăng giữa các tổ chức cho vay.,การยกเลิกกฎระเบียบ,การยกเลิกกฎระเบียบของภาคธนาคารนำไปสู่การแข่งขันที่เพิ่มขึ้นระหว่างผู้ให้กู้,deregulasi,Deregulasi sektor perbankan menyebabkan peningkatan persaingan di antara pemberi pinjaman.
volatility,Market volatility increased sharply following the unexpected policy announcement.,변동성,예상치 못한 정책 발표 이후 시장 변동성이 급격히 증가했다.,ボラティリティ,予想外の政策発表を受けて市場のボラティリティが急激に上昇した。,波动性,市场波动性在意外的政策公告后急剧增加。,volatilidad,La volatilidad del mercado aumentó bruscamente tras el inesperado anuncio de política.,biến động,Biến động thị trường tăng mạnh sau thông báo chính sách bất ngờ.,ความผันผวน,ความผันผวนของตลาดเพิ่มขึ้นอย่างรวดเร็วหลังการประกาศนโยบายที่ไม่คาดคิด,volatilitas,Volatilitas pasar meningkat tajam menyusul pengumuman kebijakan yang tidak terduga.
divestiture,The conglomerate announced a divestiture of its non-core business units.,매각,대기업은 비핵심 사업부의 매각을 발표했다.,事業売却,複合企業は非中核事業部門の売却を発表した。,剥离,该集团宣布剥离其非核心业务部门。,desinversión,El conglomerado anunció una desinversión de sus unidades de negocio no esenciales.,thoái vốn,Tập đoàn đã công bố kế hoạch thoái vốn khỏi các đơn vị kinh doanh không phải cốt lõi.,การขายกิจการ,กลุ่มบริษัทประกาศการขายกิจการที่ไม่ใช่ธุรกิจหลัก,divestasi,Konglomerat mengumumkan divestasi unit bisnis non-intinya.
liquidity,Central banks injected liquidity into the financial system during the crisis.,유동성,중앙은행은 위기 동안 금융 시스템에 유동성을 주입했다.,流動性,中央銀行は危機の際に金融システムに流動性を注入した。,流动性,中央银行在危机期间向金融体系注入了流动性。,liquidez,Los bancos centrales inyectaron liquidez en el sistema financiero durante la crisis.,thanh khoản,Các ngân hàng trung ương đã bơm thanh khoản vào hệ thống tài chính trong cuộc khủng hoảng.,สภาพคล่อง,ธนาคารกลางอัดฉีดสภาพคล่องเข้าสู่ระบบการเงินในช่วงวิกฤต,likuiditas,Bank sentral menyuntikkan likuiditas ke sistem keuangan selama krisis.
conglomerate,The multinational conglomerate operates in sectors ranging from electronics to insurance.,대기업,다국적 대기업은 전자제품에서 보험에 이르는 분야에서 사업을 운영한다.,複合企業,多国籍複合企業は電子機器から保険まで幅広い分野で事業を展開している。,企业集团,这家跨国企业集团经营范围从电子产品到保险。,conglomerado,El conglomerado multinacional opera en sectores que van desde la electrónica hasta los seguros.,tập đoàn,Tập đoàn đa quốc gia hoạt động trong các lĩnh vực từ điện tử đến bảo hiểm.,กลุ่มบริษัท,กลุ่มบริษัทข้ามชาติดำเนินธุรกิจในหลายภาคส่วนตั้งแต่อิเล็กทรอนิกส์จนถึงประกันภัย,konglomerat,Konglomerat multinasional beroperasi di sektor mulai dari elektronik hingga asuransi.
